KEY,English
Sub1_Ophelia_1_1,I dreamed a dream.
Sub1_Ophelia_1_2,A dream where the whole world was slowly being consumed by darkness. A dream I never wish to dream again.
Sub1_Ophelia_1_3,All I could do was watch the world fall into darkness.
Sub1_Ophelia_1_4,I dreamed a dream.
Sub1_Ophelia_1_5,About he who shone his way to my side as sunshine when I was sobbing like a little child.
Sub1_Ophelia_1_6,"When he reached out his hand,"
Sub1_Ophelia_1_7,"flowers bloomed into a thousand colors,"
Sub1_Ophelia_1_8,"the earth and sky regained their lushness,"
Sub1_Ophelia_1_9,and the sun chased the darkness away.
Sub1_Ophelia_1_10,"When I woke up from the dream,"
Sub1_Ophelia_1_11,"I could not remember the face, "
Sub1_Ophelia_1_12,nor the voice-
Sub1_Ophelia_1_13,but I still remember the warmth of the pat on my back.
Sub1_Ophelia_1_14,Which is why I must meet this person.
Sub1_Ophelia_1_15,My guide. 
Sub1_Ophelia_1_16,My stars.
Sub1_Ophelia_1_17,My destiny.
Sub1_Ophelia_2_1,Err... It’s already been a month since I parted with Stardust.
Sub1_Ophelia_2_2,I wonder if the leader has crossed the continent by now?
Sub1_Ophelia_2_3,This trip... It’s gonna be great! I even dreamed of him!
Sub1_Ophelia_2_4,"Right, guys?"
Sub1_Ophelia_2_5,"Ahaha! Guys, that tickles!"
Sub1_Ophelia_2_6,"Dear Magical Tarot Carriage, please hurry us to the World Tree!"
Sub1_Ophelia_3_1,Have you ever heard the whispers of a star?
Sub1_Ophelia_3_2,The clear yet mysterious sounds
Sub1_Ophelia_3_3,For today is the day—
Sub1_Ophelia_3_4,Every astrologer will gather here to observe the skies above this very place.
Sub1_Ophelia_3_5,"The holy land where astrology emerged, the World Tree."
Sub1_Ophelia_3_6,"Wow... So crowded. Well, today is a very special day after all."
Sub1_Ophelia_3_7,"I, Ophelia the witch,"
Sub1_Ophelia_3_8,have come to offer my prayer to the World Tree as a diviner of the stars.
Sub1_Ophelia_3_9,"Please guide my path so that I can see the light in the eyes of the people,"
Sub1_Ophelia_3_10,and... If you could please make my beloved the most handsome of...
Sub1_Ophelia_3_11,Shush! You’re always like that whenever we’re here. You need to behave yourself. This is a holy place. 
