KEY,"ChineseTraditional"
Sub1_Crow_1_1_1,"一切就是從那時候開始的..."
Sub1_Crow_1_1_2,"當我一如往常地進行熟悉的任務時。"
Sub1_Crow_1_2_1,"喂，老頭～"
Sub1_Crow_1_2_2,"制服呢？"
Sub1_Crow_1_2_3,"我穿這件更舒服。"
Sub1_Crow_1_2_4,"嗯，應該沒關係。"
Sub1_Crow_1_2_5,"你應該已經知道任務內容了吧？"
Sub1_Crow_1_2_6,"不是跟平常一樣嗎？如果是目標就殺掉他，如果是物品就把它搶過來，對吧？"
Sub1_Crow_1_2_7,"..."
Sub1_Crow_1_2_8,"唉～你還真是沒有人情味。"
Sub1_Crow_1_2_9,"你應該也很清楚吧？10分鐘後就要開始執行任務。"
Sub1_Crow_1_2_10,"你最好利用這段時間熟悉一下任務內容。"
Sub1_Crow_1_2_11,"真是嚴肅~只要和平常一樣咻～碰！沙～碰！乾脆俐落完成任務就行了..."
Sub1_Crow_1_2_12,"..."
Sub1_Crow_1_2_13,"23點10分收到任務。"
Sub1_Crow_1_2_14,"收購者獵犬部隊1號組長米特拉少尉。"
Sub1_Crow_1_2_15,"23點整任務開始，預計24點整抵達目標位置後從據點3回收目標物品，\n並在1點10分順利移交運輸部隊。"
Sub1_Crow_1_2_16,"任務失敗時，於00點40分返回據點1，等候另外指示。"
Sub1_Crow_1_2_17,"全都記清楚了。"
Sub1_Crow_1_2_18,"走吧。"
Sub1_Crow_1_3_1,"看吧，每次我們都這樣賭上性命幫他們完成他們無法完成的任務"
Sub1_Crow_1_3_2,"而且還這麼隱密地進行，但他們卻不知感恩！"
Sub1_Crow_1_3_3,"我也不想這麼說，但是什麼骯髒事不都是我們在做嗎？"
Sub1_Crow_1_3_4,"..."
Sub1_Crow_1_3_5,"雖然我只要負責掃射就夠了..."
Sub1_Crow_1_3_6,"咦？這麼一說好像也沒什麼耶？"
Sub1_Crow_1_3_7,"...跟賈克司講話...的確會把注意力轉移到戰爭以外的事情。"
Sub1_Crow_1_3_8,"對啊，我怎麼會對這種事不滿呢？還真稀奇。"
Sub1_Crow_1_3_9,"那個人真的很奇妙，每次都說個不停，而且都不會累耶？！"
Sub1_Crow_1_3_10,"他說這麼做是為了在戰後得到創傷後壓力症候群的診斷書。"
Sub1_Crow_1_3_11,"潘希洛奈沒有說過那種話。"
Sub1_Crow_1_3_12,"那是因為他老是逃跑！賈克司大概也半放棄了吧。"
Sub1_Crow_1_3_13,"對了！既然談到了這件事，不要一直把我和那該死的小鬼扯在一起。"
Sub1_Crow_1_3_14,"上次那該死的傢伙竟然完全失控，不分敵我看見人就想殺，造成了很大的損失。"
Sub1_Crow_1_3_15,"你這傢伙應該不會在意隊友的狀況吧。"
Sub1_Crow_1_3_16,"什麼，是啦是沒錯，但是...問題是那些隊友裡也包括我啊！"
Sub1_Crow_1_3_17,"嗯..."
Sub1_Crow_1_3_18,"那你和基裴拉..."
Sub1_Crow_1_3_19,"噢噢，我還是和潘希洛奈一起行動好了。"
Sub1_Crow_1_3_20,"不然就這樣和老頭一起行動也無妨。"
Sub1_Crow_1_3_21,"太奇怪了..."
Sub1_Crow_1_3_22,"雖然不像是一般軍隊能來的地方，但似乎也不需要我們啊。"
Sub1_Crow_1_3_23,"很不賴吧？都是槍手耶...啊，對了！"
Sub1_Crow_1_3_24,"..."
Sub1_Crow_1_3_25,"你有在聽嗎？喂，老頭？？"
Sub1_Crow_1_3_26,"來了。"
Sub1_Crow_1_3_27,"真是個難搞的人。"
Sub1_Crow_1_4_1,"辨識目標..."
Sub1_Crow_1_4_2,"辨識完成。"
Sub1_Crow_1_4_3,"剛才那個墜飾是不是有發光呢？"
Sub1_Crow_1_4_4,"咦？這是什麼？是藥水嗎？"
Sub1_Crow_1_4_5,"看來是血..."
Sub1_Crow_1_4_6,"血？為何這裡會有血呢？不管怎麼看都像是有人刻意保管的。"
Sub1_Crow_1_4_7,"嗯？不會吧？剛才那個血移動了..."
Sub1_Crow_1_4_8,"..."
Sub1_Crow_1_4_9,"嗚，心情真差..."
Sub1_Crow_1_4_10,"鎖定目標！移動後與運輸隊聯繫。"
Sub1_Crow_1_4_11,"赤色公主大概不會樂見發生這種事..."
Sub1_Crow_1_4_12,"為什麼..."
Sub1_Crow_1_4_13,"企圖要喚醒..."
Sub1_Crow_1_4_14,"？？"
Sub1_Crow_1_4_15,"喂～～你有聽見嗎？"
Sub1_Crow_1_4_16,"沒什麼。"
Sub1_Crow_1_4_17,"..."
Sub1_Crow_2_1_1,"月圓。"
Sub1_Crow_2_1_2,"在一如往常地執行完任務後..."
Sub1_Crow_2_1_3,"返回的那一天..."
Sub1_Crow_2_1_4,"世界消失不見了。"
Sub1_Crow_2_1_5,"已經太遲了！"
Sub1_Crow_2_1_6,"那個人是誰？！"
Sub1_Crow_2_1_7,"喂！那邊很危險！"
Sub1_Crow_2_1_8,"喂...待在這邊的話..."
Sub1_Crow_2_1_9,"把那個人帶走..."
Sub1_Crow_2_1_10,"抓住他！別讓他進去！"
Sub1_Crow_2_1_11,"活得不耐煩了嗎？！"
Sub1_Crow_2_1_12,"你在做什麼？已經都燒光了！"
Sub1_Crow_2_1_13,"裡面...裡面..."
Sub1_Crow_2_1_14,"光憑人類的力量根本無法撲滅熊熊大火，"
Sub1_Crow_2_1_15,"只能眼睜睜看著卻束手無策"
Sub1_Crow_2_1_16,"紅色且巨大的火舌..."
Sub1_Crow_2_1_17,"吞噬了我的一切..."
Sub1_Crow_2_1_18,"...我只能呆呆看著這一切發生。"
Sub1_Crow_2_1_19,"站在那個地方..."
Sub1_Crow_2_1_20,"整個人就像被釘住一樣無法動彈。"
Sub1_Crow_2_1_21,"當火苗全都燃燒殆盡之時"
Sub1_Crow_2_1_22,"我也跟其他人一樣倒下了。"
Sub1_Crow_2_1_23,"在門被燒毀後，我試著移動腳步要離開這裡，"
Sub1_Crow_2_1_24,"火焰將一切燃燒殆盡，什麼都不剩了。"
Sub1_Crow_2_1_25,"什麼都..."
Sub1_Crow_2_1_26,"不剩了。"
Sub1_Crow_2_1_27,"真的..."
Sub1_Crow_2_1_28,"全部都沒了。"
Sub1_Crow_2_1_29,"天啊！聽說孩子跟母親都被困在屋子裡..."
