KEY,"Day"
NEWBIE_ATTENDANCE,"1"
NEWBIE_ATTENDANCE,"2"
NEWBIE_ATTENDANCE,"3"
NEWBIE_ATTENDANCE,"4"
NEWBIE_ATTENDANCE,"5"
NEWBIE_ATTENDANCE,"6"
NEWBIE_ATTENDANCE,"7"
NEWBIE_ATTENDANCE,"8"
NEWBIE_ATTENDANCE,"9"
NEWBIE_ATTENDANCE,"10"
NEWBIE_ATTENDANCE,"11"
NEWBIE_ATTENDANCE,"12"
NEWBIE_ATTENDANCE,"13"
NEWBIE_ATTENDANCE,"14"
NEWBIE_ATTENDANCE,"15"
VERONICAS_SPECIAL_PACKAGE,"1"
VERONICAS_SPECIAL_PACKAGE,"2"
VERONICAS_SPECIAL_PACKAGE,"3"
VERONICAS_SPECIAL_PACKAGE,"4"
VERONICAS_SPECIAL_PACKAGE,"5"
VERONICAS_SPECIAL_PACKAGE,"6"
VERONICAS_SPECIAL_PACKAGE,"7"
VERONICAS_SPECIAL_PACKAGE,"8"
VERONICAS_SPECIAL_PACKAGE,"9"
VERONICAS_SPECIAL_PACKAGE,"10"
VERONICAS_SPECIAL_PACKAGE,"11"
VERONICAS_SPECIAL_PACKAGE,"12"
VERONICAS_SPECIAL_PACKAGE,"13"
VERONICAS_SPECIAL_PACKAGE,"14"
COMEBACK_ATTENDANCE,"1"
COMEBACK_ATTENDANCE,"2"
COMEBACK_ATTENDANCE,"3"
COMEBACK_ATTENDANCE,"4"
COMEBACK_ATTENDANCE,"5"
COMEBACK_ATTENDANCE,"6"
COMEBACK_ATTENDANCE,"7"
7DAYS_SPECIAL_ATTENDANCE,"1"
7DAYS_SPECIAL_ATTENDANCE,"2"
7DAYS_SPECIAL_ATTENDANCE,"3"
7DAYS_SPECIAL_ATTENDANCE,"4"
7DAYS_SPECIAL_ATTENDANCE,"5"
7DAYS_SPECIAL_ATTENDANCE,"6"
7DAYS_SPECIAL_ATTENDANCE,"7"
