KEY,ChineseSimplified
CHAPTER1_TITLE,第1章.旅程的起点
CHAPTER2_TITLE,第2章.继承
CHAPTER3_TITLE,第3章.剑之所向
CHAPTER4_TITLE,第4章.席卷而来的黑暗
CHAPTER5_TITLE,第5章.迷雾女王
CHAPTER6_TITLE,第6章.沾染金光的黑暗
CHAPTER7_TITLE,第7章.光之路
CHAPTER8_TITLE,第8章. 地狱之门
CHAPTER9_TITLE,第9章. 混沌再临
CHAPTER95_TITLE,最终章
CHAPTER1_BACKGROUND,王之平原
CHAPTER2_BACKGROUND,艾莉朵拉森林
CHAPTER3_BACKGROUND,欧格利亚高山地
CHAPTER4_BACKGROUND,克卢雅平原
CHAPTER5_BACKGROUND,阿罗维纳海岸
CHAPTER6_BACKGROUND,埃伊纳沙漠
MAP_LAMUS_PLAIN,王之平原
MAP_ELLIDORA_FOREST,艾莉朵拉森林
MAP_KRAD_MOUNTAIN,欧格利亚高山地
MAP_KRAD_FOREST,克卢雅平原
MAP_SICRAKAM_PLAIN,阿罗维纳海岸
MAP_HALLA_DESERT,埃伊纳沙漠
MAP_BALLUTUA_SNOW_MOUNTAIN,风地雪山
MAP_DIZARSTOM_VOLCANO,德拉吉亚火山
MAP_GARGOSS_SWAMP,卡尔库斯沼泽地带
MAP_Mysterious_Ruins,猜谜遗迹
MAP_ Realm_Empire,帝国领地
MAP_ OrvelianCapital_ Orvel,首都奥勒贝尔
MAP_ LandofDeath_Galua,死亡之地克卢雅
MAP_Border,边境地区
MAP_Border_Outskirts,边境地区外围
MAP_Imperial_Office,帝国办公室
MAP_Present,现在
MAP_Past,过去
TITLE_DARKNESS,黑暗的
HERO_GROUP_1,克丽欧 & 罗伊
HERO_GROUP_2,一同
HERO_GROUP_3,露娜 & 梅伊
HERO_GROUP_4,露娜 & 雅妮
HERO_GROUP_5,爱纱 & 阿蒂蜜雅
HERO_GROUP_6,士兵1 & 2
HERO_GROUP_7,兽人部队
HERO_GROUP_8,爱比丝 & 珍
HERO_GROUP_9,杂种
HERO_GROUP_10,魅魔
HERO_GROUP_11,希欧&???
HERO_GROUP_12,萨蜜拉
