KEY,Russian
ITEM_TYPE.EQUIP,Снаряжение
ITEM_TYPE.PACKAGE,Набор
ITEM_TYPE.ENCHANT,Зачаровать
EQUIP_PART_TYPE.WEAPON,Оружие
EQUIP_PART_TYPE.ARMOR,Броня
EQUIP_PART_TYPE.ACCESSORY,Украшения
EQUIP_PART_TYPE.SECOND_GEAR,Доп. снаряжение
EQUIP_PART_TYPE.ORB,Сфера
EQUIP_PART_TYPE.ARTIFACT,Реликвия
EQUIP_PART_TYPE.ENHANCE_STONE,Магический кристалл
EQUIP_PART_TYPE.TREASURE,Сокровище
STAT_TYPE.MAX_HP,Макс. ОЗ
STAT_TYPE.PHYSICAL_ATTACK,АТК
STAT_TYPE.MAGICAL_ATTACK,АТК
STAT_TYPE.PHYSICAL_DEFENSE,Физ. ЗЩТ
STAT_TYPE.MAGICAL_DEFENSE,Маг. ЗЩТ
STAT_TYPE.ADD_MAX_HP_R,Макс. ОЗ
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,АТК
STAT_TYPE.ADD_MAGICAL_ATTACK_R,АТК
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,Физ. ЗЩТ
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,Маг. ЗЩТ
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,Шанс крит. удара
STAT_TYPE.PHYSICAL_CRITICAL_POWER,Крит. урон
STAT_TYPE.PHYSICAL_DODGE_CHANCE,Шанс физ. уклонения
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,Шанс физ. блока
STAT_TYPE.PHYSICAL_BLOCK_POWER,Уменьш. урона физ. блока
STAT_TYPE.PHYSICAL_HIT_CHANCE,Меткость
STAT_TYPE.PHYSICAL_PIERCE_POWER,Пробойная сила
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,Шанс крит. удара
STAT_TYPE.MAGICAL_CRITICAL_POWER,Крит. урон
STAT_TYPE.MAGICAL_DODGE_CHANCE,Шанс маг. уклонения
STAT_TYPE.MAGICAL_BLOCK_CHANCE,Шанс маг. блока
STAT_TYPE.MAGICAL_BLOCK_POWER,Уменьш. урона маг. блока
STAT_TYPE.MAGICAL_HIT_CHANCE,Меткость
STAT_TYPE.MAGICAL_PIERCE_POWER,Пробойная сила
STAT_TYPE.HEAL_POWER,Целит. сила
STAT_TYPE.RECOVER_POWER,Восст.
STAT_TYPE.ANTI_CC_CHANCE,Отпор контролю
STAT_TYPE.HIT_CC_CHANCE,Меткость отриц. эффектов
STAT_TYPE.ANTI_DEBUFF_CHANCE,Отпор отриц. эффектам
STAT_TYPE.PHYSICAL_WEAKNESS,Увелич. получ. физ. урон
STAT_TYPE.PHYSICAL_TOUGHNESS,Уменьш. получ. физ. урон
STAT_TYPE.MAGICAL_WEAKNESS,Увелич. получ. маг. урон
STAT_TYPE.MAGICAL_TOUGHNESS,Уменьш. получ. маг. урон
STAT_TYPE.HP_STEAL_POWER,Вампиризм
STAT_TYPE.HP_ON_DAMAGE,Восст. ОЗ под АТК
STAT_TYPE.HP_ON_ATTACK,Восст. ОЗ при АТК
STAT_TYPE.HP_ON_KILL,Восст. ОЗ при уничтожении
STAT_TYPE.HP_ON_WAVE,Восст. ОЗ после боя
STAT_TYPE.HP_ON_SECOND,Восст. ОЗ в сек.
STAT_TYPE.HP_RATIO_ON_DAMAGE,Восст. ОЗ под АТК
STAT_TYPE.HP_RATIO_ON_ATTACK,Восст. ОЗ при АТК
STAT_TYPE.HP_RATIO_ON_KILL,Восст. ОЗ при смерти
STAT_TYPE.HP_RATIO_ON_WAVE,Восст. ОЗ после боя
STAT_TYPE.HP_RATIO_ON_SECOND,Восст. ОЗ в сек.
STAT_TYPE.MAX_MP,Макс. мана
STAT_TYPE.MP_ON_DAMAGE,Восст. маны под АТК
STAT_TYPE.MP_ON_ATTACK,Восст. маны при АТК
STAT_TYPE.MP_ON_KILL,Восст. маны при уничтожении
STAT_TYPE.MP_ON_WAVE,Восст. маны после боя
STAT_TYPE.MP_ON_SECOND,Восст. маны в сек.
STAT_TYPE.ATTACK_SPEED,СКР АТК
STAT_TYPE.MOVE_SPEED_MMS,СКР
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,Отпор физ. крит. удару
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,Отпор маг. крит. удару
STAT_TYPE.HP,ОЗ
STAT_TYPE.CCACCURACY,Меткость отриц. эффектов
STAT_TEAMLEVEL,Ур. команды
STAT_TEAMEXP,Опыт команды
STAT_VIPLEVEL,Ур. VIP
