KEY,ChineseTraditional
DAILYMISSION_LOGIN_NAME,拜訪英雄
DAILYMISSION_LOGIN_DESC,{1}天連線{1}次
DAILYMISSION_DUNGEON_CLEAR_NAME,持續不斷的冒險
DAILYMISSION_DUNGEON_CLEAR_DESC,通過副本{1}次
DAILYMISSION_ITEM_GET_NAME,寶物獵人
DAILYMISSION_ITEM_GET_DESC,在副本獲得裝備或道具{1}次
DAILYMISSION_MONSTER_KILL_NAME,擊退魔王軍吧！
DAILYMISSION_MONSTER_KILL_DESC,消滅怪物{1}隻
DAILYMISSION_EXPEDITION_NAME,前往遠征吧！
DAILYMISSION_EXPEDITION_DESC,嘗試探索或掠奪{1}次
DAILYMISSION_ITEM_CRAFT_NAME,聽說你的手藝很不錯
DAILYMISSION_ITEM_CRAFT_DESC,製作道具{1}次
DAILYMISSION_ITEM_ENHANCE_NAME,拼命攻擊吧！
DAILYMISSION_ITEM_ENHANCE_DESC,強化裝備{1}次
DAILYMISSION_TRIAL_CLEAR_NAME,靈魂沉睡之處
DAILYMISSION_TRIAL_CLEAR_DESC,通過試煉之房{1}次
DAILYMISSION_GOLD_GET_NAME,積少成多
DAILYMISSION_GOLD_GET_DESC,在副本中獲得{1}金幣
DAILYMISSION_PVP_NAME,挑戰最強寶座！
DAILYMISSION_PVP_DESC,參加勝者之巔{1}次
DAILYMISSION_GACHA_NAME,開啟撲通撲通箱
DAILYMISSION_GACHA_DESC,開啟寶箱{1}次
DAILYMISSION_ITEM_BUY_NAME,補給也很重要
DAILYMISSION_ITEM_BUY_DESC,在商店中購買道具{1}次
DAILYMISSION_TOWER_JOIN_NAME,邁向更高的一層
DAILYMISSION_TOWER_JOIN_DESC,進行挑戰之塔{1}次
DAILYMISSION_UNDERGROUND_CLEAR_NAME,永無寧日的地下監牢
DAILYMISSION_UNDERGROUND_CLEAR_DESC,通過地下監牢{1}次
MISSION_HERO_LEVEL20_NAME,新手冒險家{1}
MISSION_HERO_LEVEL50_NAME,變強的{1}
MISSION_HERO_LEVEL100_NAME,{1}，達到最高境界
MISSION_HERO_LEVEL_DESC,達成{1}{2}級
MISSION_HERO_STAR_NAME,覺醒的{1}{2}
MISSION_HERO_STAR_DESC,達成{1}覺醒{2}階段！
MISSION_HERO_GRADE_NAME,突破極限的{1}{2}
MISSION_HERO_GRADE_DESC,{1}升級，達成{2}級別！
MISSION_HERO_SKILL_MASTER_NAME,技能大師{1}{2}
