KEY,ChineseSimplified
QUEST.QUEST_TYPE_MAIN,主线任务
QUEST.QUEST_TYPE_SUB,支线任务
QUEST.QUEST_TYPE_NORMAL,一般任务
QUEST.QUEST_TYPE_REPEAT,反覆任务
QUEST.QUEST_TYPE_DAILY,每日任务
QUEST.QUEST_TYPE_EVENT,活动任务
QUEST.QUEST_TARGET_CLEAR,在{1}拿到{2}星以上胜利({3}/{4})
QUEST.QUEST_TARGET_CLEAR_NONODE,拿到{1}星以上胜利({2}/{3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,在{1}战斗胜利({2}/{3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,战斗胜利({1}/{2})
QUEST.QUEST_TARGET_BATTLE,在{1}进入战斗({2}/{3})
QUEST.QUEST_TARGET_BATTLE_NONODE,进入战斗({1}/{2})
QUEST.QUEST_TARGET_VISIT,拜访{1}
QUEST.QUEST_TARGET_KILL,在{1}消灭{2}({3}/{4})
QUEST.QUEST_TARGET_KILL_NONODE,消灭{1}({2}/{3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,在{1}消灭敌人({2}/{3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,消灭敌人({1}/{2})
QUEST.QUEST_TARGET_EVENTBATTLE,在{1}赢得战斗
QUEST.QUEST_TARGET_ITEMGIVE,传送{2}给{1}({3}/{4})
QUEST.QUEST_TARGET_TEAMLEVEL,团队等级达成{1}
QUEST.QUEST_TARGET_HEROLEVEL,从等级{1}达成{2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,英雄等级达成{1}
QUEST.QUEST_TARGET_HEROGET,{1}加入
QUEST.QUEST_TARGET_HEROSTAR,{1}觉醒至{2}星
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,1位英雄觉醒至{1}星
QUEST.QUEST_TARGET_BUY,在{1}购买{2}次({3}/{4})
QUEST.QUEST_TARGET_BUY_NOSHOP,在商店购买{1}次({2}/{3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,尝试{1}次装备强化({2}/{3})
QUEST.QUEST_TARGET_KILLRACE,在{1}消灭{2}({3}/{4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,消灭{1}({2}/{3})
QUEST.QUEST_TARGET_NONE,拜访{1}
QUEST.QUEST_TARGET_NONE_NONPC,任务通关！
QUEST.QUEST_TARGET_JOINMATCH,参与决斗{1}次({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,决斗中胜利{1}次({2}/{3})
ACCEPT_QUEST,接取任务
COMPLETE_QUEST,任务通关
QUEST_COMPLETE_REWARD,通关奖励
GIVEUP_QUEST,任务放弃
QUEST_DIRECT_MOVE,立刻前往
QUEST_REWARD_SELECT_POSTFIX,(选择)
QUEST_REWARD_SELECT,选择奖励
QUEST.REWARD_TEAM_EXP,队伍经验值{1}
SCENARIO_QUEST_GROUP_TITLE_1,王之平原 - 1
SCENARIO_QUEST_GROUP_TITLE_2,王之平原 - 2
SCENARIO_QUEST_GROUP_TITLE_3,王之平原 - 3
SCENARIO_QUEST_GROUP_TITLE_4,王之平原 - 4
SCENARIO_QUEST_GROUP_TITLE_5,王之平原 - 5
SCENARIO_QUEST_GROUP_TITLE_6,王之平原 - 6
SCENARIO_QUEST_GROUP_TITLE_7,艾莉朵拉森林 - 1
SCENARIO_QUEST_GROUP_TITLE_8,艾莉朵拉森林 - 2
SCENARIO_QUEST_GROUP_TITLE_9,艾莉朵拉森林 - 3
SCENARIO_QUEST_GROUP_TITLE_10,艾莉朵拉森林 - 4
SCENARIO_QUEST_GROUP_TITLE_11,艾莉朵拉森林 - 5
SCENARIO_QUEST_GROUP_TITLE_12,艾莉朵拉森林 - 6
SCENARIO_QUEST_GROUP_TITLE_13,欧格利亚高山地 - 1
SCENARIO_QUEST_GROUP_TITLE_14,欧格利亚高山地 - 2
SCENARIO_QUEST_GROUP_TITLE_15,欧格利亚高山地 - 3
SCENARIO_QUEST_GROUP_TITLE_16,欧格利亚高山地 - 4
SCENARIO_QUEST_GROUP_TITLE_17,欧格利亚高山地 - 5
SCENARIO_QUEST_GROUP_TITLE_18,欧格利亚高山地 - 6
SCENARIO_QUEST_GROUP_TITLE_19,克卢雅平原 - 1
SCENARIO_QUEST_GROUP_TITLE_20,克卢雅平原 - 2
SCENARIO_QUEST_GROUP_TITLE_21,克卢雅平原 - 3
SCENARIO_QUEST_GROUP_TITLE_22,克卢雅平原 - 4
SCENARIO_QUEST_GROUP_TITLE_23,克卢雅平原 - 5
SCENARIO_QUEST_GROUP_TITLE_24,克卢雅平原 - 6
SCENARIO_QUEST_GROUP_TITLE_25,阿罗维纳海岸 - 1
SCENARIO_QUEST_GROUP_TITLE_26,阿罗维纳海岸 - 2
SCENARIO_QUEST_GROUP_TITLE_27,阿罗维纳海岸 - 3
SCENARIO_QUEST_GROUP_TITLE_28,阿罗维纳海岸 - 4
SCENARIO_QUEST_GROUP_TITLE_29,阿罗维纳海岸 - 5
SCENARIO_QUEST_GROUP_TITLE_30,阿罗维纳海岸 - 6
SCENARIO_QUEST_GROUP_TITLE_31,埃伊纳沙漠 - 1
SCENARIO_QUEST_GROUP_TITLE_32,埃伊纳沙漠 - 2
SCENARIO_QUEST_GROUP_TITLE_33,埃伊纳沙漠 - 3
SCENARIO_QUEST_GROUP_TITLE_34,埃伊纳沙漠 - 4
SCENARIO_QUEST_GROUP_TITLE_35,埃伊纳沙漠 - 5
SCENARIO_QUEST_GROUP_TITLE_36,埃伊纳沙漠 - 6
SCENARIO_QUEST_GROUP_TITLE_37,风地雪山 - 1
SCENARIO_QUEST_GROUP_TITLE_38,风地雪山 - 2
SCENARIO_QUEST_GROUP_TITLE_39,风地雪山 - 3
SCENARIO_QUEST_GROUP_TITLE_40,德拉吉亚火山 - 1
SCENARIO_QUEST_GROUP_TITLE_41,德拉吉亚火山 - 2
SCENARIO_QUEST_GROUP_TITLE_42,德拉吉亚火山 - 3
SCENARIO_QUEST_GROUP_TITLE_43,德拉吉亚火山 - 4
SCENARIO_QUEST_GROUP_TITLE_44,德拉吉亚火山 - 5
SCENARIO_QUEST_GROUP_TITLE_45,德拉吉亚火山 - 6
SCENARIO_QUEST_GROUP_TITLE_46,卡尔库斯沼泽地带－1
SCENARIO_QUEST_GROUP_TITLE_47,卡尔库斯沼泽地带－2
SCENARIO_QUEST_GROUP_TITLE_48,卡尔库斯沼泽地带－3
SCENARIO_QUEST_GROUP_TITLE_49,卡尔库斯沼泽地带－4
SCENARIO_QUEST_GROUP_TITLE_50,卡尔库斯沼泽地带－5
SCENARIO_QUEST_GROUP_TITLE_51,卡尔库斯沼泽地带－6
QUEST_DETAIL_INFO_TITLE,任务说明
SCENARIO_QUEST_TITLE_101_RE,通关\n1-4简单难度
