KEY,Vietnamese
QUEST.QUEST_TYPE_MAIN,Nhiệm vụ chính
QUEST.QUEST_TYPE_SUB,Nhiệm vụ phụ
QUEST.QUEST_TYPE_NORMAL,Nhiệm vụ thông thường
QUEST.QUEST_TYPE_REPEAT,Nhiệm vụ lặp lại
QUEST.QUEST_TYPE_DAILY,Nhiệm vụ hàng ngày
QUEST.QUEST_TYPE_EVENT,Nhiệm vụ sự kiện
QUEST.QUEST_TARGET_CLEAR,Chiến thắng với {2}sao hoặc hơn trong {1} ({3}/{4})
QUEST.QUEST_TARGET_CLEAR_NONODE,Chiến thắng với {1} sao hoặc hơn ({2}/{3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,Thắng trận trong {1} ({2}/{3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,Thắng trận {1} /{2})
QUEST.QUEST_TARGET_BATTLE,Vào một trận đánh trong {1} ({2}/{3})
QUEST.QUEST_TARGET_BATTLE_NONODE,Vào một trận đánh ({1}/{2})
QUEST.QUEST_TARGET_VISIT,Ghé thăm {1}
QUEST.QUEST_TARGET_KILL,Giết {2} trong {1} ({3}/{4})
QUEST.QUEST_TARGET_KILL_NONODE,Giết {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,Giết một kẻ thù trong {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,Giết một kẻ thù {1} ({2}/)
QUEST.QUEST_TARGET_EVENTBATTLE,Thắng một trận trong {1}
QUEST.QUEST_TARGET_ITEMGIVE,Gửi {2} đến {1} ({3}/{4})
QUEST.QUEST_TARGET_TEAMLEVEL,Đạt cấp độ nhóm {1}.
QUEST.QUEST_TARGET_HEROLEVEL,{1} đạt cấp độ {2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,Đạt cấp độ anh hùng {1}
QUEST.QUEST_TARGET_HEROGET,{1} đã gia nhập
QUEST.QUEST_TARGET_HEROSTAR,{1} đạt {2} sao
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,Có anh hùng thức tỉnh {1} sao
QUEST.QUEST_TARGET_BUY,Mua x{2} tại {1} ({3}/{4})
QUEST.QUEST_TARGET_BUY_NOSHOP,Mua x{1} tại Cửa hàng ({2}/{3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,Thử cường hoá vũ khí {1} ({2}/{3})
QUEST.QUEST_TARGET_KILLRACE,Giết {2} trong {1} ({3}/{4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,Giết {1} ({2}/{3})
QUEST.QUEST_TARGET_NONE,Ghé thăm {1}
QUEST.QUEST_TARGET_NONE_NONPC,Hoàn thành nhiệm vụ!
QUEST.QUEST_TARGET_JOINMATCH,Vào trận trong Đấu trường x{1} ({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,Thắng trận trong Đấu trường {1} ({2}/{3})
ACCEPT_QUEST,Chấp nhận nhiệm vụ
COMPLETE_QUEST,Hoàn thành nhiệm vụ
QUEST_COMPLETE_REWARD,Phần thưởng hoàn thành
GIVEUP_QUEST,Bỏ nhiệm vụ
QUEST_DIRECT_MOVE,Đường tắt
QUEST_REWARD_SELECT_POSTFIX,(Chọn)
QUEST_REWARD_SELECT,Chọn một phần thưởng
QUEST.REWARD_TEAM_EXP,XP nhóm {1}
SCENARIO_QUEST_GROUP_TITLE_1,Bình nguyên nhà Vua - 1
SCENARIO_QUEST_GROUP_TITLE_2,Bình nguyên nhà Vua - 2
SCENARIO_QUEST_GROUP_TITLE_3,Bình nguyên nhà Vua - 3
SCENARIO_QUEST_GROUP_TITLE_4,Bình nguyên nhà Vua - 4
SCENARIO_QUEST_GROUP_TITLE_5,Bình nguyên nhà Vua - 5
SCENARIO_QUEST_GROUP_TITLE_6,Bình nguyên nhà Vua - 6
SCENARIO_QUEST_GROUP_TITLE_7,Rừng Elidora - 1
SCENARIO_QUEST_GROUP_TITLE_8,Rừng Elidora - 2
SCENARIO_QUEST_GROUP_TITLE_9,Rừng Elidora - 3
SCENARIO_QUEST_GROUP_TITLE_10,Rừng Elidora - 4
SCENARIO_QUEST_GROUP_TITLE_11,Rừng Elidora - 5
SCENARIO_QUEST_GROUP_TITLE_12,Rừng Elidora - 6
SCENARIO_QUEST_GROUP_TITLE_13,Ngọn núi Ogria - 1
SCENARIO_QUEST_GROUP_TITLE_14,Ngọn núi Ogria - 2
SCENARIO_QUEST_GROUP_TITLE_15,Ngọn núi Ogria - 3
SCENARIO_QUEST_GROUP_TITLE_16,Ngọn núi Ogria - 4
SCENARIO_QUEST_GROUP_TITLE_17,Ngọn núi Ogria - 5
SCENARIO_QUEST_GROUP_TITLE_18,Ngọn núi Ogria - 6
SCENARIO_QUEST_GROUP_TITLE_19,Bình nguyên Galluah - 1
SCENARIO_QUEST_GROUP_TITLE_20,Bình nguyên Galluah - 2
SCENARIO_QUEST_GROUP_TITLE_21,Bình nguyên Galluah - 3
SCENARIO_QUEST_GROUP_TITLE_22,Bình nguyên Galluah - 4
SCENARIO_QUEST_GROUP_TITLE_23,Bình nguyên Galluah - 5
SCENARIO_QUEST_GROUP_TITLE_24,Bình nguyên Galluah - 6
SCENARIO_QUEST_GROUP_TITLE_25,Rừng Arrovina - 1
SCENARIO_QUEST_GROUP_TITLE_26,Rừng Arrovina - 2
SCENARIO_QUEST_GROUP_TITLE_27,Rừng Arrovina - 3
SCENARIO_QUEST_GROUP_TITLE_28,Rừng Arrovina - 4
SCENARIO_QUEST_GROUP_TITLE_29,Rừng Arrovina - 5
SCENARIO_QUEST_GROUP_TITLE_30,Rừng Arrovina - 6
SCENARIO_QUEST_GROUP_TITLE_31,Sa mạc Aegina 1
SCENARIO_QUEST_GROUP_TITLE_32,Sa mạc Aegina 2
SCENARIO_QUEST_GROUP_TITLE_33,Sa mạc Aegina 3
SCENARIO_QUEST_GROUP_TITLE_34,Sa mạc Aegina 4
SCENARIO_QUEST_GROUP_TITLE_35,Sa mạc Aegina 5
SCENARIO_QUEST_GROUP_TITLE_36,Sa mạc Aegina 6
SCENARIO_QUEST_GROUP_TITLE_37,Ngọn Núi Tuyết - 1
SCENARIO_QUEST_GROUP_TITLE_38,Ngọn Núi Tuyết - 2
SCENARIO_QUEST_GROUP_TITLE_39,Ngọn Núi Tuyết - 3
SCENARIO_QUEST_GROUP_TITLE_40,Núi lửa Dragia – 1
