KEY,"Spanish"
BASE_RESULT_TYPE.SUCCESS,"Se procesó con éxito la solicitud. Tu red es inestable. Inténtalo de nuevo más tarde."
BASE_RESULT_TYPE.FAIL,"No se pudo procesar con éxito la solicitud. La conexión de red es inestable. Inténtalo de nuevo más tarde."
BASE_RESULT_TYPE.SESSION_ERROR,"Te desconectaste del servidor por estar inactivo durante mucho tiempo. Reinicia el juego."
BASE_RESULT_TYPE.ACCOUNT_ERROR,"La cuenta es incorrecta."
BASE_RESULT_TYPE.UNHANDLED,"La solicitud no puede ser procesada"
BASE_RESULT_TYPE.EXCEPTION,"Un error interno ha ocurrido."
BASE_RESULT_TYPE.HTTP_ERROR,"Un error ocurrio durante la solicitud web."
BASE_RESULT_TYPE.PARSING_ERROR,"Analisis ha fallado"
RESULT_TYPE.SUCCESS,"Se procesó con éxito la solicitud. Tu red es inestable. Inténtalo de nuevo más tarde."
RESULT_TYPE.FAIL,"No se pudo procesar con éxito la solicitud. La conexión de red es inestable. Inténtalo de nuevo más tarde."
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"No se puede encontrar la info del nivel"
RESULT_TYPE.CANNOT_UPGRADE_MORE,"No se puede actualizar mas"
RESULT_TYPE.NOT_ENOUGH_GOLD,"Insuficiente oro"
RESULT_TYPE.NOT_ENOUGH_GEM,"Insuficiente rubi"
RESULT_TYPE.INSUFFICIENT_ITEM,"Insuficientes articulos materiales"
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"No se puede encontrar la info de rango."
RESULT_TYPE.CANNOT_UPGRADE_YET,"No se puede actualizar todavia"
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"No se puede encontrar la info de oro requerida."
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"No se puede encontrar la info de articulo material requerida"
RESULT_TYPE.SESSION_ERROR,"Te desconectaste del servidor por estar inactivo durante mucho tiempo. Reinicia el juego."
RESULT_TYPE.ACCOUNT_ERROR,"La cuenta es incorrecta"
RESULT_TYPE.UNHANDLED,"No procesado"
RESULT_TYPE.HTTP_ERROR,"la solicitud Web ha fallado"
RESULT_TYPE.PARSING_ERROR,"respuesta Invalida"
RESULT_TYPE.HERO_NOT_FOUND,"El heroe no existe"
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"La info del equipo no existe"
RESULT_TYPE.EQUIP_NOT_OWNED,"No posees el equipo"
RESULT_TYPE.EQUIP_NOT_FOUND,"El equipo no existe"
RESULT_TYPE.EQUIPPED,"El equipo ya esta armado"
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"No se puede encontrar el codigo del equipo."
RESULT_TYPE.MAX_JOIN_REQUEST,"Excedido el limite de solicitudes de admision.\nPor favor cancela algunas solicitudes y procede."
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"Excedido el limite de solicitudes de admision del clan."
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"El precio requerido es invalido"
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"materiales del equipo Invalidos."
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"No posees este material del equipo."
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"nivel de equipo Bajo."
RESULT_TYPE.MAX_MEMBER,"has Alcanzado el numero maximo de miembros del clan."
RESULT_TYPE.INVALID_RANK,"derechos de los miembros del clan Invalidos."
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,"No se puede encontrar la info de la solicitud de admision"
RESULT_TYPE.NAME_DUPLICATED,"El mismo nombre ya existe"
RESULT_TYPE.GUILD_MEMBER_EXIST,"miembros del Clan todavia existen."
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,"Este heroe ya esta registrado como mercenario."
RESULT_TYPE.MAX_MERCENARY,"Excedido el limite de registro de mercenarios"
RESULT_TYPE.NOT_REGISTERED_MERCENARY,"mercenario No registrado"
RESULT_TYPE.ALREADY_JOINED,"Ya te has unido a un clan"
RESULT_TYPE.LOG_NOT_FOUND,"El registro de batalla no existe"
RESULT_TYPE.INVALID_PLUNDER_RESULT,"registro de batalla Invalido."
RESULT_TYPE.ALREADY_CHASED,"Ya te he perseguido"
RESULT_TYPE.INVALID_CHAPTER_INDEX,"ubicación de mision Invalida."
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,"No se puede encontrar la ubicación de la mision."
RESULT_TYPE.COLLECT_ENDED,"Coleccion completa."
RESULT_TYPE.DEAD_HERO_EXIST,"No se puede saquear a un heroe muerto."
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,"No se puede encontrar la info de la persecucion."
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,"No se puede encontrar la info de la mision de expedicion."
RESULT_TYPE.INVALID_TEAM_SLOT,"grupo de mision de expedicion Invalido."
RESULT_TYPE.ALREADY_HARVESTED,"Ya has completado la mision"
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,"has Alcanzado el numero max de metas ahora."
RESULT_TYPE.COLLECT_NOT_ENDED,"La mision no esta completa todavia"
RESULT_TYPE.RECORD_NOT_FOUND,"El registro de repeticion no existe"
RESULT_TYPE.ALREADY_DEFEND_REWARDED,"Ya has recibido recompensas por defender saqueos."
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,"has Alcanzado el numero max diario de recompensas por defender saqueos."
RESULT_TYPE.CHAPTER_NOT_COMPLETED,"El capitulo no esta completo."
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,"No se pueden encontrar los datos del nivel VIP."
