KEY,French
E_C19_Oct_Laudia01_01,Tout est fini de ce côté-là.
E_C19_Oct_Laudia01_02,"Ici également. Haa... Même si le nombre des monstres s'est réduit, les éradiquer semble être une tâche sans fin."
E_C19_Oct_Laudia01_03,"Tant que les Démons étendront leur influence, cela continuera... Tu devras travailler sans relâche."
E_C19_Oct_Laudia01_04,"Cela ne fait rien. Je ne fais que mon devoir, après tout."
E_C19_Oct_Laudia01_05,"Que diriez-vous de rentrer, puisque vous en avez suffisamment fait pour aujourd'hui ?"
E_C19_Oct_Laudia01_06,"C'est votre anniversaire, Laudia."
E_C19_Oct_Laudia01_07,"Tu n'as pas à t'en préoccuper. Tout comme toi, je ne fais qu'accomplir mon devoir."
E_C19_Oct_Laudia01_08,Mais...
E_C19_Oct_Laudia01_09,"Ce n'est pas grave, vraiment. Et je dois me rendre quelque part."
E_C19_Oct_Laudia01_10,Vous rendre quelque part ?
E_C19_Oct_Laudia01_11,"Oui. J'y vais depuis ma tendre enfance... Tu peux m'accompagner, si tu le souhaites."
E_C19_Oct_Laudia01_12,"L'endroit doit vous être spécial. Dans ce cas, permettez-moi de vous tenir compagnie."
E_C19_Oct_Laudia01_13,J'ignorais qu'il existait un tel lieu...
E_C19_Oct_Laudia01_14,Il est bien entretenu. Cet endroit sert-il aux rituels ?
E_C19_Oct_Laudia01_15,"Non, ce n'est pas cela. Mais tu as raison de dire qu'il est entretenu."
E_C19_Oct_Laudia01_16,Je l'utilisais comme une sorte de base secrète quand j'étais enfant... L'histoire risque d'être longue si je la raconte.
E_C19_Oct_Laudia01_17,"Si cela vous sied, j'aimerais l'écouter. Je suis de toute ouïe."
E_C19_Oct_Laudia01_18,"Voilà, j'étais vraiment petite à l'époque..."
E_C19_Oct_Laudia01_19,"Tu as dû en entendre parler, toi aussi. À propos du Dieu-Dragon endormi à l'Autel des flots."
E_C19_Oct_Laudia01_20,"Ah, oui. Quand j'étais enfant, on me la racontait souvent avant que je m'endorme."
E_C19_Oct_Laudia01_21,"Une histoire d'enfance, oui. Nous n'aurions jamais imaginé qu'elle était vraie."
E_C19_Oct_Laudia01_22,"Vaguement, j'ai admiré le Dieu-Dragon en croyant que c'était juste un être ravissant qui faisait pleuvoir sur le désert."
E_C19_Oct_Laudia01_23,"Et j'ai aussi pensé que je devais préparer un endroit où le Dieu-Dragon pourrait habiter, une fois réveillé."
E_C19_Oct_Laudia01_24,"C'était vraiment insensé, maintenant que j'y repense."
E_C19_Oct_Laudia01_25,"Eh bien... Vous n'étiez encore qu'une enfant. Laias rira en entendant cette histoire, qui sait ?"
E_C19_Oct_Laudia01_26,"Je te remercie. En cherchant un endroit somptueux, j'ai fini par arriver jusqu'ici."
E_C19_Oct_Laudia01_27,"J'ai entrepris de le nettoyer en me disant que j'allais y jouer avec le Dieu-Dragon, dès son réveil."
E_C19_Oct_Laudia01_28,Mais j'ai fini par comprendre en grandissant.
E_C19_Oct_Laudia01_29,Quoi donc ?
E_C19_Oct_Laudia01_30,Que cet endroit est trop petit pour que le Dieu-Dragon puisse y loger.
E_C19_Oct_Laudia01_31,Ahaha... Certes.
E_C19_Oct_Laudia01_32,"Cependant, ranger les fleurs ou tenir le sol propre ne sont pas des tâches difficiles."
E_C19_Oct_Laudia01_33,Alors je m'en occupe à chaque fois que j'en ai le loisir.
E_C19_Oct_Laudia01_34,"Je vois... Dans ce cas, rendez-vous visite dans ce lieu à chacun de vos anniversaires ?"
E_C19_Oct_Laudia01_35,"Hmm ? Non. C'est seulement que nous voyons souvent Laias, ces temps-ci."
E_C19_Oct_Laudia01_36,"Comme j'ai du temps libre à l'occasion de mon anniversaire, j'ai eu envie de venir."
E_C19_Oct_Laudia01_37,"Ah, je crois que je suis au bon endroit."
E_C19_Oct_Laudia01_38,La-Laias ?! Comment avez-vous fait pour...
E_C19_Oct_Laudia01_39,Je suis venue vous trouver parce que j'avais quelque chose à vous dire.
E_C19_Oct_Laudia01_40,"Dans ce cas, je vais me retirer un instant. Prenez vos aises pour discuter."
E_C19_Oct_Laudia01_41,J'ignorais qu'il existait un tel endroit à Aegina. Est-ce que vous vous en occupez personnellement ?
E_C19_Oct_Laudia01_42,"Oui, je l'entretiens à chaque fois que j'ai du temps libre."
E_C19_Oct_Laudia01_43,"À voir la pureté de l'atmosphère qui règne en cet endroit, vous avez dû mettre tout votre cœur et temps, à vous en occuper."
E_C19_Oct_Laudia01_44,"Il est superbe. Si cela ne vous fait rien, puis-je le visiter de temps à autre ?"
E_C19_Oct_Laudia01_45,Certainement. Faites comme bon vous semblera.
E_C19_Oct_Laudia01_46,Je vous en remercie. Et puis cette chose dont je veux vous parler.
E_C19_Oct_Laudia01_47,Oui. Je vous écoute.
E_C19_Oct_Laudia01_48,"Joyeux anniversaire, Laudia. Que la bénédiction des flots vous accompagne."
E_C19_Oct_Laudia01_49,Et... cette déclaration peut vous paraître soudaine.
E_C19_Oct_Laudia01_50,Vous avez fourni énormément d'efforts en affrontant les démons.
E_C19_Oct_Laudia01_51,"Si les humains ont pu retrouver leurs sourires, c'est grâce à vous."
E_C19_Oct_Laudia01_52,"En tant que celle qui veille sur le désert, je vous en remercie."
E_C19_Oct_Laudia01_53,V-Vous me faites trop d'honneur... C'est moi qui vous remercie.
E_C19_Oct_Laudia01_54,Je suis navrée d'avoir dérangé votre jour de repos. Que le reste de la journée vous soit profitable.
E_C19_Oct_Laudia01_55,Vous n'avez pas à vous sentir navrée. C'est pour me féliciter que vous êtes venue.
E_C19_Oct_Laudia01_56,De quoi avez-vous parlé ?
E_C19_Oct_Laudia01_57,Elle m'a complimenté sur la beauté de cet endroit... Et elle a ajouté qu'elle souhaitait le revisiter de temps à autre.
E_C19_Oct_Laudia01_58,... Recevoir les compliments de la part du Dieu-Dragon est une chose que je n'aurais jamais imaginée dans mon enfance.
E_C19_Oct_Laudia01_59,"Pourtant, cela s'est produit..."
E_C19_Oct_Laudia01_60,"Puisque Laias vous a fait l'honneur de sa présence, votre rêve d'enfance s'est réalisé."
E_C19_Oct_Laudia01_61,"Tu as raison... J'ai bien fait de persévérer, sans jamais abandonner."
E_C19_Oct_Clause01_01,"Joyeux anniversaire, Clause !!"
E_C19_Oct_Clause01_02,"Joyeux anniversaire, Clause !!"
E_C19_Oct_Clause01_03,"Nous l'avons confectionné nous-même. C'est joli, hein ?"
E_C19_Oct_Clause01_04,"Héhé, Kasel s'est trompé sur l'orthographe !"
E_C19_Oct_Clause01_05,Mais euh ! Tu avais pourtant promis de ne pas te moquer !
E_C19_Oct_Clause01_06,Haha ! Ils sont tous les deux magnifiques !
E_C19_Oct_Clause01_07,"Merci, du fond du cœur ! Il n'y a pas de doute, vous êtes de charmants bambins !"
E_C19_Oct_Clause01_08,"À cette époque-là, nous pouvions le féliciter en premier..."
E_C19_Oct_Clause01_09,Oui...
E_C19_Oct_Clause01_10,"Je vous souhaite bon anniversaire, Clause !"
E_C19_Oct_Clause01_11,"Tu es la fierté d'Orvel, toutes mes félicitations !"
E_C19_Oct_Clause01_12,"Haha. Je vous remercie, tous !!"
E_C19_Oct_Clause01_13,"Comme toujours, je m'efforcerai à ne pas décevoir vos attentes."
E_C19_Oct_Clause01_14,"Clause est toujours égal à lui-même, et ce même, le jour de son anniversaire."
E_C19_Oct_Clause01_15,C'est ce qui fait son charme. Huhu ! Bon anniversaire !
E_C19_Oct_Clause01_16,Ne crois-tu pas que ce soit le moment ?
E_C19_Oct_Clause01_17,"Oui. Alors, si nous y allions..."
E_C19_Oct_Clause01_18,Capitaine ! Pour quelle raison êtes-vous venue jusqu'ici ?
E_C19_Oct_Clause01_19,"Je suis venue te rencontrer, bien entendu. Tu as toujours autant d'amis qu'auparavant."
E_C19_Oct_Clause01_20,"Voici une lettre que Son Altesse a écrite de ses propres mains, et le cadeau qu'elle t'envoie."
E_C19_Oct_Clause01_21,"Je te souhaite un joyeux anniversaire, Clause."
E_C19_Oct_Clause01_22,Bon anniversaire !
E_C19_Oct_Clause01_23,"J'ai préparé une sculpture en bois qui te ressemble, alors je te prie de l'accepter."
E_C19_Oct_Clause01_24,"Haha. Merci, Loman."
E_C19_Oct_Clause01_25,"Je vous remercie aussi, capitaine. J'irai présenter en personne mes remerciements à la princesse."
E_C19_Oct_Clause01_26,Si c'est ce que tu souhaites. Son Altesse appréciera sûrement.
E_C19_Oct_Clause01_27,Et puis...
E_C19_Oct_Clause01_28,Je pense que c'est le jour idéal pour te nommer au poste du capitaine de l'ordre de la chevalerie...
E_C19_Oct_Clause01_29,"Ha, hahaha ! Je vous prie de m'excuser, mais je me contenterai de votre bienveillance, cette fois aussi, capitaine !"
E_C19_Oct_Clause01_30,"Je préfère me rendre utile auprès des personnes, en gardant mon poste actuel."
E_C19_Oct_Clause01_31,Je pense que c'est mon devoir d'agir ainsi.
E_C19_Oct_Clause01_32,Haaa... Aurais-je de nouveau échoué...
E_C19_Oct_Clause01_33,"Cette fois, c'est au tour du capitaine..."
E_C19_Oct_Clause01_34,La popularité de Clause ne connaît pas de limite...
E_C19_Oct_Clause01_35,... Et si nous attendions encore un peu ?
E_C19_Oct_Clause01_36,Oui. Puisque nous avons suffisamment de temps.
E_C19_Oct_Clause01_37,Clause... Il semble tout joyeux.
E_C19_Oct_Clause01_38,"Quand nous étions enfants, nous célébrions son anniversaire rien qu'entre nous trois."
E_C19_Oct_Clause01_39,"Te sentirais-tu esseulé, par hasard ?"
E_C19_Oct_Clause01_40,Haha. Tu as deviné juste.
E_C19_Oct_Clause01_41,"Mais cela ne fait rien. Clause est mon grand frère, après tout."
E_C19_Oct_Clause01_42,"Cependant, il est triste de penser que nous ne pouvons plus passer suffisamment de temps ensemble."
E_C19_Oct_Clause01_43,Oui...
E_C19_Oct_Clause01_44,"Hahaha... Aujourd'hui aussi, ce fut une journée trépidante."
E_C19_Oct_Clause01_45,"Il me semble que je n'ai vu ni Kasel, ni Frey... Seraient-ils occupés ?"
E_C19_Oct_Clause01_46,Cela ne fait pas longtemps que Kasel est devenu apprenti-chevalier...
E_C19_Oct_Clause01_47,Et Frey doit être accaparée par divers apprentissages...
