KEY,Vietnamese
E_C19_May_Lucias_01,"Ngài Ricardo, ngài cho tìm tôi?"
E_C19_May_Lucias_02,Dường như dạo này cậu thường xuyên rời khỏi vị trí.
E_C19_May_Lucias_03,"Trận chiến vừa qua với lũ ác quỷ đã khiến nhiều dân thường thương vong, cùng với các chiến binh thần thánh."
E_C19_May_Lucias_04,Tôi mải mê với những người cần giúp đỡ nên bị chậm trễ. Cho tôi xin lỗi.
E_C19_May_Lucias_05,Ha ha ha! Cậu không cần phải xin lỗi!
E_C19_May_Lucias_06,Ta biết từ lâu là cậu không thể ngó lơ những ai đang cần được giúp đỡ mà.
E_C19_May_Lucias_07,"Mà thôi, Lucias này, ta mới biết hôm nay là sinh nhật cậu!"
E_C19_May_Lucias_08,"Lẽ ra ta nên chuẩn bị một buổi tiệc mừng từ trước,"
E_C19_May_Lucias_09,"nhưng càng già thì ta càng dễ quên mấy chuyện kiểu ấy, ha ha ha!"
E_C19_May_Lucias_10,Xin lỗi cậu là ta không nhớ ra sớm hơn.
E_C19_May_Lucias_11,"Ta có món quà nhỏ cho cậu, cũng không nhiều nhặn gì."
E_C19_May_Lucias_12,Cảm ơn ngài.
E_C19_May_Lucias_13,...Nhưng sao ngài biết hôm nay là sinh nhật tôi?
E_C19_May_Lucias_14,Hôm nay ta nhận được thư của Nhà ảo thuật Stardust.
E_C19_May_Lucias_15,Cậu ta nhớ được sinh nhật cậu thì hẳn là bạn tốt của cậu rồi. Chàng trai đó có vẻ thú vị đấy.
E_C19_May_Lucias_16,Ha ha... phải... có lẽ vậy.
E_C19_May_Lucias_17,"Tiện đây ta hỏi, cậu đã về nhà lần nào chưa?"
E_C19_May_Lucias_18,"Chưa, thưa ngài, tôi chưa có cơ hội."
E_C19_May_Lucias_19,Cha mẹ nào cũng trông ngóng con cái khi chúng tự bước đi trên đường đời của mình.
E_C19_May_Lucias_20,Họ luôn lo lắng cho sức khỏe và sự an nguy của con cái.
E_C19_May_Lucias_21,Chính điều đó đã khiến họ thao thức đêm hôm.
E_C19_May_Lucias_22,Mà hôm nay lại là một ngày quan trọng với cậu.
E_C19_May_Lucias_23,Sao cậu không nghỉ ngơi và về nhà một chuyến đi?
E_C19_May_Lucias_24,"Lucias, hãy mang thứ này về cho cha mẹ cậu."
E_C19_May_Lucias_25,Cảm ơn ngài đã luôn san sẻ sản lượng thu hoạch.
E_C19_May_Lucias_26,"Ha ha ha, không cần phải cảm ơn ta. Cậu mới là người duy trì sự bình yên cho ngôi làng này."
E_C19_May_Lucias_27,Ta luôn biết ơn Nữ thần vì điều đó.
E_C19_May_Lucias_28,Người đã gửi cho chúng ta một đứa trẻ được ban phước...
E_C19_May_Lucias_29,Ai cũng nói thế làm tôi thấy ngại quá...
E_C19_May_Lucias_30,Thế giới bên ngoài ngôi làng này toàn là nỗi buồn đau.
E_C19_May_Lucias_31,Chúng ta cũng phải chịu cảnh khó nhọc tương tự cho đến khi cậu ra đời.
E_C19_May_Lucias_32,Cậu chính là lý do giúp chúng ta hôm nay có thể nở nụ cười.
E_C19_May_Lucias_33,Tôi cũng thấy nhẹ lòng... khi biết mọi người đều hạnh phúc...
E_C19_May_Lucias_34,(Nếu chỉ bằng một chút sức mạnh hiện có là mình đã có thể giúp mọi người trong làng...)
E_C19_May_Lucias_35,(Liệu mình có thể cứu vớt cả những người ngoài làng không?)
E_C19_May_Lucias_36,(Để tạo ra một thế giới... nơi ai cũng được hạnh phúc... không có khổ đau...)
E_C19_May_Lucias_37,Có những người mà ta không thể cứu vớt trên thế giới này.
E_C19_May_Lucias_38,Đến giờ ta vẫn còn như nghe thấy những tiếng la hét vang lên từ cung điện chìm trong hỗn loạn và kinh hoàng.
E_C19_May_Lucias_39,Tôi thấy vẫn chưa thể về nhà được.
E_C19_May_Lucias_40,(Cho đến khi mình hoàn thành nhiệm vụ...)
E_C19_May_Lucias_41,(Mình phải cứu những người đang chịu đau khổ... và mang yên bình đến cho họ.)
E_C19_May_Lucias_42,Rất tiếc là tôi phải khước từ đề nghị tử tế ấy của ngài.
E_C19_May_Lucias_43,"Ha ha ha, không cần phải thế!"
E_C19_May_Lucias_44,Cậu đã muốn vậy thì ta cũng không ép cậu đâu.
E_C19_May_Lucias_45,Trong lá thư này không viết gì nhiều...
E_C19_May_Lucias_46,Ta chỉ gợi ý thế vì cảm thấy người đó muốn cậu nghỉ ngơi một chút.
E_C19_May_Lucias_47,"Có lẽ giờ chưa phải là lúc thích hợp để làm thế, ha ha."
E_C19_May_Lucias_48,"Oa ha ha, hôm nay ta luyên thuyên thế là đủ rồi. Cậu cứ thong thả làm việc đi nhé."
E_C19_May_Lucias_49,...Tôi sẽ cố gắng hết sức. Cầu mong Nữ thần ban phước lành cho ngài.
E_C19_May_Lucias_50,Phù...
E_C19_May_Lucias_51,Hả? Đây là...?
E_C19_May_Lucias_52,Tôi biết là cậu sẽ có phản ứng như thế mà. Chúc mừng sinh nhật nhé.
E_C19_May_Lucias_53,"Ha ha ha, cảm ơn..."
E_C19_May_Lavril_01,……
E_C19_May_Lavril_02,Oa! Bánh to quá! Tuyệt cú mèo! Sinh nhật vui thật!
E_C19_May_Lavril_03,"Chúc mừng sinh nhật! Quà của cậu đây! Tôi thích cái này lắm, nhưng sẽ tặng nó cho cậu nhân dịp sinh nhật!"
E_C19_May_Lavril_04,Cảm ơn nhé! Vào đây đi! Nhìn này! Mẹ mình đã làm món bánh mình thích đấy!
E_C19_May_Lavril_05,Từ từ đã! Đừng ăn bánh vội! Cậu đã hát mừng chưa? Còn pháo hoa đâu!?
E_C19_May_Lavril_06,Thế thì hát nhanh đi rồi còn ăn bánh!
E_C19_May_Lavril_07,"Chúc mừng sinh nhật của bạn, chúc mừng sinh nhật đáng nhớ!"
E_C19_May_Lavril_08,Sinh nhật à...?
E_C19_May_Lavril_09,A? Chào cô Lavril.
E_C19_May_Lavril_10,Có chuyện gì vậy?
E_C19_May_Lavril_11,"Xin chào... à, tôi có một câu hỏi."
E_C19_May_Lavril_12,"Ờ, vậy... trong làng đang diễn ra lễ hội gì vậy?"
E_C19_May_Lavril_13,Lễ hội à?
E_C19_May_Lavril_14,"Phải, rất nhiều người đang bàn tán về... sinh nhật."
E_C19_May_Lavril_15,Ai cũng tỏ ra rất hạnh phúc...
E_C19_May_Lavril_16,"Có bánh, có quà... và mọi người còn hát mừng nữa..."
E_C19_May_Lavril_17,"Nhưng nếu cô cũng không biết thì... Ophelia, không phải là lễ hội gì hả?"
E_C19_May_Lavril_18,"A, cô đang nói đến tiệc sinh nhật à...?"
E_C19_May_Lavril_19,Tiệc? Sinh nhật...?
E_C19_May_Lavril_20,"Đúng rồi! Khi đến dịp sinh nhật, gia đình và bạn bè sẽ tụ họp để ăn mừng."
E_C19_May_Lavril_21,"Cô sẽ nhận quà của mọi người, ước một điều và thổi nến trên bánh..."
E_C19_May_Lavril_22,A! Và cô còn được ăn đủ thứ đồ ăn ưa thích nữa.
E_C19_May_Lavril_23,"Ra thế... Ophelia, cô cũng có sinh nhật chứ?"
E_C19_May_Lavril_24,"He, sinh nhật tôi là vào mùa hè. Không còn lâu lắm đâu."
E_C19_May_Lavril_25,Chúng tôi... không có sinh nhật. Vì chúng tôi là... chính mình....
E_C19_May_Lavril_26,Chúng tôi... cũng muốn làm tiệc...
E_C19_May_Lavril_27,Trông vui quá... được ăn mừng với bạn bè...
E_C19_May_Lavril_28,"Ưm... à, sinh nhật không nhất thiết phải đúng vào ngày cô ra đời đâu."
E_C19_May_Lavril_29,T-Thật sao?
E_C19_May_Lavril_30,Ai không biết sinh nhật mình thì chọn một ngày khác...
E_C19_May_Lavril_31,hoặc một ngày đặc biệt nào đó để tổ chức mừng sinh nhật.
E_C19_May_Lavril_32,"Vậy sao ta không chọn hôm nay là sinh nhật cô chứ, Lavril?"
E_C19_May_Lavril_33,Hôm nay...?
E_C19_May_Lavril_34,Phải. Vì hôm nay là ngày cô được biết về sinh nhật mà! Cô nghĩ sao?
E_C19_May_Lavril_35,Đ-được...!
E_C19_May_Lavril_36,Vậy thì chuẩn bị tiệc thôi nào! Cô có muốn mời bạn nào đến không?
E_C19_May_Lavril_37,"Bạn à... Ophelia, Rephy, Shea... và... ta có thể mời cả Lucias không...?"
E_C19_May_Lavril_38,"Anh ấy sẽ đến mừng cô, tôi chắc chắn đấy."
E_C19_May_Lavril_39,"Đúng là anh ấy rất bận, nhưng ghé qua một lát thì chắc là được thôi."
E_C19_May_Lavril_40,"...He he, tốt quá rồi..."
E_C19_May_Lavril_41,"OK, vậy ta cùng viết thiếp mời đi!"
E_C19_May_Lavril_42,...Phải rồi!
E_C19_May_Kara01_01,Kara! Chào buổi sáng!
E_C19_May_Kara01_02,Đêm qua chủ nhân ngủ ngon chứ?
E_C19_May_Kara01_03,Chuyện vừa xảy ra cứ như mặt trời mọc đằng Tây ấy.
E_C19_May_Kara01_04,Đây là lần đầu tiên chủ nhân thức dậy mà không cần tôi gọi.
E_C19_May_Kara01_05,Ha ha ha! Vì hôm nay là sinh nhật của Kara mà! Ngày quan trọng thế này thì ta phải dậy sớm chứ!
E_C19_May_Kara01_06,Cô nghĩ sao? Có ngạc nhiên không? Hả?
E_C19_May_Kara01_07,"Đêm qua, khi tôi bắt mạch của cô, thì cô đã ngủ từ lúc hoàng hôn."
E_C19_May_Kara01_08,Dù xác suất khá thấp nhưng tôi có thể dự đoán được việc đó.
E_C19_May_Kara01_09,"...Hừm, nghe chừng không thuyết phục lắm."
E_C19_May_Kara01_10,Đợi đã! Cô lúc nào cũng bắt mạch cho tôi à?
E_C19_May_Kara01_11,Đó là vì sự an toàn của chủ nhân thôi.
E_C19_May_Kara01_12,"...Xì, ta chẳng còn được riêng tư gì nữa rồi... ha ha."
E_C19_May_Kara01_13,*Lầm bầm* Lần này không được thì lần sau chắc chắn sẽ được!
E_C19_May_Kara01_14,"Đi nào, Kara! Chúng ta cần đi đâu đó."
E_C19_May_Kara01_15,"Chủ nhân, giờ là lúc làm việc."
E_C19_May_Kara01_16,Cần gì phải làm việc vào một ngày thế này! Ta còn nhiều ngày nghỉ phép lắm! Đi thôi!
E_C19_May_Kara01_17,"Vâng, thưa chủ nhân."
E_C19_May_Kara01_18,Đến lúc rồi. Chúng... tới đấy!
E_C19_May_Kara01_19,Bắt đầu chuẩn bị chiến đấu.
E_C19_May_Kara01_20,Meooo!
E_C19_May_Kara01_21,Nya? Meo!
E_C19_May_Kara01_22,Meo! Gừ... gừ...
E_C19_May_Kara01_23,"Số 1, 2, 3! Xông tới chỗ Kara!"
E_C19_May_Kara01_24,Ta-da! Cô thấy Quân đoàn mèo của tôi thế nào!?
E_C19_May_Kara01_25,Có thấy tim rộn lên không? À... ý tôi là động cơ ấy? Ngạc nhiên chứ?
E_C19_May_Kara01_26,Tôi đã sớm nhận ra sự bất thường trong kiểu hình hoạt động của cô dù cô chẳng mấy khi tập tành.
E_C19_May_Kara01_27,Tôi phát hiện ra cô chăm lũ mèo từ lúc tôi đi theo cô năm tháng trước.
E_C19_May_Kara01_28,"Độ thân hữu của số 1, 2 và 3 với ta đã đến mức tối đa rồi."
E_C19_May_Kara01_29,"...Cô đi theo ta sao, Kara? Thật à?"
E_C19_May_Kara01_30,He! Nhưng chắc chắn là sự vụ cuối cùng này sẽ thành công!
E_C19_May_Kara01_31,Nào! Màn cuối cho dịp sinh nhật của cô!
E_C19_May_Kara01_32,"Vâng, thưa chủ nhân."
E_C19_May_Kara01_33,"Chủ nhân, chúng ta đang ở đâu vậy? Những tọa độ này không xuất hiện trong dữ liệu bản đồ của tôi."
E_C19_May_Kara01_34,A ha ha ha! Ta đã giữ bí mật về nơi này đến tận hôm nay đấy!
E_C19_May_Kara01_35,"Đợi một chút và... Oa! Kia rồi! Kara, nhìn kìa!"
E_C19_May_Kara01_36,Tôi không ngờ đến chuyện này. Hôm nay mặt trăng trông thật là lớn.
E_C19_May_Kara01_37,"Nhưng mặt trăng không thực sự to ra, đây chỉ là ảo ảnh thôi..."
E_C19_May_Kara01_38,"Thôi nào, Kara. Mấy khi được ngắm trăng đẹp như thế này đâu."
