KEY,German
E_C19_September_Gau01_01,Oh?! Yanne. Was tut Ihr hier?
E_C19_September_Gau01_02,Eine Überraschungsparty vorbereiten!\nAm Abend würden viele Gäste kommen.
E_C19_September_Gau01_03,Wie bitte? Ist heute ein besonderer Tag?
E_C19_September_Gau01_04,Ja. Es ist Gaus Geburtstag.
E_C19_September_Gau01_05,Oh ... Heute ist Onkel Gaus Geburtstag?!
E_C19_September_Gau01_06,"Gau hat es mir mal erzählt, als wir zusammen trinken waren."
E_C19_September_Gau01_07,"Und ich bat ihn, mit mir um das Pflücken wilder Beeren zu wetten, ohne zu wissen, dass ..."
E_C19_September_Gau01_08,"Hmm ... War er traurig, weil ich von seinem Geburtstag nicht wusste?"
E_C19_September_Gau01_09,Sah er schlecht gelaunt aus?
E_C19_September_Gau01_10,Er sagte nicht viel und wirkte den ganzen Morgen deprimiert.
E_C19_September_Gau01_11,Wegen den Schuldgefühlen also.
E_C19_September_Gau01_12,Hmm? Warum hat er an seinem Geburtstag Schuldgefühle?
E_C19_September_Gau01_13,"Einmal an seinem Geburtstag wurde er gewalttätig, wobei seine Leute verletzt wurden ... Der Vorfall ging ihm seitdem nicht mehr aus dem Kopf."
E_C19_September_Gau01_14,"Ich denke, diese Erinnerung beunruhigt ihn."
E_C19_September_Gau01_15,"Wir sprechen von dem gleichen Bär ähnlichen Onkel Gau, richtig???!!!"
E_C19_September_Gau01_16,"Er ist so lieb, dass er keiner Fliege etwas zuleide tun könnte."
E_C19_September_Gau01_17,"Oh, Rodina, wenn du nur wüsstest. "
E_C19_September_Gau01_18,"Gau mag jetzt wie ein großzügiger lieber Onkel erscheinen,"
E_C19_September_Gau01_19,aber zuvor galt er als der gefährlichste Krieger im Barbaren-Königreich.
E_C19_September_Gau01_20,Auf keinen Fall!
E_C19_September_Gau01_21,"Er war sogar berühmt, als ich noch jung war."
E_C19_September_Gau01_22,"Als früher der Doppelaxt-Barbar nur vorbeiging, hat jeder Mensch seine Haustüren abgeschlossen."
E_C19_September_Gau01_23,Onkel hat ... Das macht doch keinen Sinn.
E_C19_September_Gau01_24,"Dann die Tatsache, dass er ein Waisenhaus gebaut hat ..."
E_C19_September_Gau01_25,Hmm ... Vielleicht wollte er damit seine Fehler wiedergutmachen.
E_C19_September_Gau01_26,"Ich dachte Onkel Gau wäre nur ein lockerer, mutiger Onkel gewesen ..."
E_C19_September_Gau01_27,Aber er trägt so viel Last ...
E_C19_September_Gau01_28,"Daher hoffe ich, dass er endlich loslassen kann."
E_C19_September_Gau01_29,"Er versucht gerade, die zusammengebrochene barbarische Nation wieder aufzubauen ..."
E_C19_September_Gau01_30,"Jedoch gibt es immer noch Leute, die an den damaligen wilden Gau denken ..."
E_C19_September_Gau01_31,"Aber du weißt doch auch, Rodina?"
E_C19_September_Gau01_32,Er ist ein sehr warmherziger Mensch.
E_C19_September_Gau01_33,"Ja, natürlich!"
E_C19_September_Gau01_34,"Er ist ein Mensch, der mit seiner Wärme diesen ganzen Schneeberg zum Schmelzen bringen könnte!"
E_C19_September_Gau01_35,"Hahaha, deshalb habe ich besondere Gäste eingeladen, um eine Überraschungsparty zu veranstalten!"
E_C19_September_Gau01_36,"Obwohl ich Kasel und seine Freunde nicht einladen konnte, da sie zu weit weg sind. "
E_C19_September_Gau01_37,Also lass uns heute Abend eine großartige Party feiern!
E_C19_September_Gau01_38,Ok!! Kann ich irgendwie helfen?!
E_C19_September_Gau01_39,Ich habe Getränke und Fleisch vorbereitet.
E_C19_September_Gau01_40,"Rodina, kannst du die wilden Beeren pflücken, die Gau mag?"
E_C19_September_Gau01_41,Natürlich!!! Dann werde ich viele wilde Beeren vom Schneeberg pflücken!
E_C19_September_Gau01_42,"Und ich werde Pavel darum bitten, zusammen einen Eiswildbeerenkuchen zu backen!!"
E_C19_September_Gau01_43,Sehr gut!
E_C19_September_Gau01_44,Umm ... Aber ...
E_C19_September_Gau01_45,"Wird er heute wirklich kommen, um den Kuchen zu essen?"
