KEY,Russian
BATTLE.DAMAGE_TYPE.Critical,Крит. удар
BATTLE.DAMAGE_TYPE.Block,ЗЩТ
BATTLE.DAMAGE_TYPE.Miss,Уклонение
BATTLE.DAMAGE_TYPE.Resist,Отпор
BATTLE.DAMAGE_TYPE.ImmunePhysical,Физ. иммунитет
BATTLE.DAMAGE_TYPE.ImmuneMagical,Маг. иммунитет
BATTLE.STATE_TYPE_NAME.Allure,Чары
BATTLE.STATE_TYPE_NAME.Banish,Изгнание
BATTLE.STATE_TYPE_NAME.Bleeding,Кровотечение
BATTLE.STATE_TYPE_NAME.Blind,Ослепление
BATTLE.STATE_TYPE_NAME.Burn,Ожог
BATTLE.STATE_TYPE_NAME.Down,Нокдаун
BATTLE.STATE_TYPE_NAME.Electronic,Удар током
BATTLE.STATE_TYPE_NAME.Frozen,Заморозка
BATTLE.STATE_TYPE_NAME.Knockback,Толчок
BATTLE.STATE_TYPE_NAME.Paralyze,Паралич
BATTLE.STATE_TYPE_NAME.Poison,Яд
BATTLE.STATE_TYPE_NAME.Shackle,Сковывание
BATTLE.STATE_TYPE_NAME.Silence,Безмолвие
BATTLE.STATE_TYPE_NAME.Snow,Снежок
BATTLE.STATE_TYPE_NAME.Stone,Окаменение
BATTLE.STATE_TYPE_NAME.Stun,Оглушение
BATTLE.STATE_TYPE_NAME.Debuff,Отриц. эффект
BATTLE.STATE_TYPE_NAME.Pulling,Притяжение
BATTLE.STATE_TYPE_NAME.CC,Отриц. эффект
BATTLE.STATE_TYPE_NAME.Atkup,Усилен. АТК
BATTLE.STATE_TYPE_NAME.Defup,Увелич. ЗЩТ
BATTLE.STATE_TYPE_NAME.SpdUp,Увелич. СКР
BATTLE.STATE_TYPE_NAME.Shield,Щит
BATTLE.STATE_TYPE_DESC1,Некоторое время не может двигаться.
BATTLE.STATE_TYPE_DESC2,Некоторое время уклоняется от всех атак.
BATTLE.STATE_TYPE_DESC3,Некоторое время наносит определенной цели урон обычными атаками.
BATTLE.STATE_TYPE_DESC4,Некоторое время не может двигаться и получает уязвимость к сбиванию с ног.
BATTLE.STATE_TYPE_DESC5,Некоторое время не может двигаться и получает уязвимость к отталкиванию.
BATTLE.STATE_TYPE_DESC6,Некоторое время не может использовать активные навыки.
BATTLE.STATE_TYPE_DESC7,Увеличивает АТК.
BATTLE.STATE_TYPE_DESC8,Увеличивает ЗЩТ.
BATTLE.STATE_TYPE_DESC9,Увеличивает скорость.
BATTLE.STATE_TYPE_DESC10,Наделяет щитом.
RAID_WARNING_RED_DREGON_4,[FF8200]Темерер начинает неистово махать крыльями.
RAID_WARNING_BLUE_DREGON_4,[FF8200]Скалаксия начинает неистово махать крыльями.
RAID_WARNING_BLUE_DREGON_5,"[FF0000]Скалаксия взлетает, оставляя на земле ледяной кристалл."
RAID_WARNING_GREEN_DREGON_4,[FF8200]Зиркинос начинает неистово махать крыльями.
RAID_WARNING_BLACK_DREGON_4,[FF8200]Армата начинает неистово махать крыльями.
RAID_WARNING_MOUNTAIN_FORTRESS_4,[FF8200]Горная крепость наполняется невероятной энергией.
RADE_WARNING_PROTIANUS_4,[FF8200]Профиан вызывает цунами.
RAID_WARNING_SATRIA_3,[FF8200]Сатриа наполняет копье силой тьмы.
RAID_WARNING_KERBEREN_4,[FF8200]Керберен наносит сокрушающий удар по земле.
RAID_WARNING_OBRIGARD_4,[FF8200]Череп демона пробуждается.
RAID_WARNING_MAVIEL_4,[FF8200]Мавиэль скрывается в тени.
RAID_WARNING_NUBIS_3,[FF8200]Из хвоста Нубис появляется ядовитая слизь.
RAID_WARNING_GUSHAK_3,[FF8200]Гушак наполняет меч энергией и ударяет по земле ногой.
RAID_WARNING_NORDIK_3,[FF8200]Нордик создает бурю из маны.
RAID_WARNING_MANTICORE_4,"[FF8200]Мантикора бросается вперед, чтобы растерзать противника когтями."
RAID_WARNING_THORPE_4,[FF8200]Торп пытается прыгнуть.
RAID_WARNING_THORPE_CRASH,Торп теряет равновесие и падает на землю.
RAID_WARNING_TYRFAS_4,[FF8200]Тирпас топает ногой и вызывает лавину.
RAID_WARNING_VELKAZAR_2,[FF8200]Велказар окружает себя обжигающим пламенем.
RAID_WARNING_VELKAZAR_4,[FF0000]Велказар призывает «Гроб палача».
MAZE_WARNING_ARCHER_1,[FF8200]Эль Розед призывает темных эльфов.
MAZE_WARNING_WARRIOR_1,[FF8200]Скелет готовится нанести мощный удар.
MAZE_WARNING_KNIGHT_1,[FF8200]Воин-варвар пытается изгнать врага.
RAID_WARNING_LAKREIL_1,[FF8200]Лакрейл начинает бросать\n«Смертоносный бумеранг».
RAID_WARNING_LAKREIL_2,[FF8200]Лакрейл готовится применить «Сокрушающий удар».
RAID_WARNING_Xanadus_1,Занаду приглашает вас в бездну.
RAID_WARNING_Xanadus_2,[FF8200]Занаду распахивает «Покров тьмы».
RAID_WARNING_Xanadus_3,Занаду отводит назад свои крылья.
RAID_WARNING_Xanadus_4,[FF0000]Занаду пытается призвать кошмар бездны.
RAID_WARNING_Xanadus_5,[Камень душ бездны] повышает АТК Занаду.
RAID_WARNING_KALLAX_3,"[FF0000] Калакс взлетает в небо, чтобы вынести приговор."
RAID_WARNING_IMET_1,[FF0000]Имэт собирается заключить героев в тюрьму из песка\nи осуществить быструю расправу.
RAID_WARNING_MSAMA_1,[FF0000]Мсама начинает призывать силу неба.
RAID_WARNING_SEKMAHA_1,[FF0000]Поток Секмахи изменил направление. 
RAID_WARNING_IMET_2,[FF8200]Король-бог  дарует своё благословения\nи восстанавливает здоровье героев.
