KEY,Spanish
E_C19_Jan_Fray01_01,He vuelto aquí una vez más… Este año también…
E_C19_Jan_Fray01_02,"Esto no me devolverá la memoria, pero…"
E_C19_Jan_Fray01_03,"¿Tú no eres Frey, aquella a la que todos llaman la Sacerdotisa de la luz?"
E_C19_Jan_Fray01_04,"Gran erudita de Elidora, saludos de la servidora de Lua."
E_C19_Jan_Fray01_05,"Ja, ja. Estoy bien, gracias a ti."
E_C19_Jan_Fray01_06,Ya te has transformado en una jovencita. Eras un bebé cuando te conocí por primera vez.
E_C19_Jan_Fray01_07,¿Un bebé? ¿Tú…?
E_C19_Jan_Fray01_08,¿Iris no te contó?
E_C19_Jan_Fray01_09,Yo fui quien te encontró primero bajo este Árbol del mundo.
E_C19_Jan_Fray01_10,Yo… Lo único que me dijeron fue que me encontraron bajo el Árbol del mundo.
E_C19_Jan_Fray01_11,Es extraño que Iris no te haya contado nada. Todavía recuerdo ese día como si hubiera sido ayer.
E_C19_Jan_Fray01_12,Hacía demasiado calor para ser pleno invierno.
E_C19_Jan_Fray01_13,"Era temprano, y yo iba caminando cerca del Árbol del mundo."
E_C19_Jan_Fray01_14,Y allí estabas… Un ángel con un resplandor dorado.
E_C19_Jan_Fray01_15,¿Un ángel?
E_C19_Jan_Fray01_16,¡Así es! Vi cómo las raíces del Árbol del mundo emanaban una luz sagrada.
E_C19_Jan_Fray01_17,Fui hacia la luz y allí encontré a un hermoso bebé que brillaba con destellos dorados.
E_C19_Jan_Fray01_18,"Creí que era un ángel, pero no vi que tuviera alas."
E_C19_Jan_Fray01_19,El aura a su alrededor no era habitual.
E_C19_Jan_Fray01_20,…
E_C19_Jan_Fray01_21,"Entonces, fui de prisa en busca de Iris."
E_C19_Jan_Fray01_22,Escuché que te habían llevado al orfanato que administraba el capitán de los Caballeros sagrados.
E_C19_Jan_Fray01_23,Así es. Mi abuelo Ricardo me crio.
E_C19_Jan_Fray01_24,Clause y Kasel también estuvieron conmigo.
E_C19_Jan_Fray01_25,¿Pero… cómo es que la clériga Iris nunca me contó nada sobre eso?
E_C19_Jan_Fray01_26,Debe haber un motivo.
E_C19_Jan_Fray01_27,Todo lo que ha hecho Iris fue bajo la guía de Lua.
E_C19_Jan_Fray01_28,Ya veo… Gracias. Esa era la historia que más me interesaba saber.
E_C19_Jan_Fray01_29,Es lo menos que puedo hacer. Temo haberte confundido en tu día importante.
E_C19_Jan_Fray01_30,"Que la luz llene… Oh, creo que los humanos dicen algo distinto."
E_C19_Jan_Fray01_31,"Feliz cumpleaños, Frey."
E_C19_Jan_Fray01_32,Gracias...
E_C19_Jan_Fray01_33,…
E_C19_Jan_Fray01_34,No es mi intención quejarme.
E_C19_Jan_Fray01_35,"Pero… ¿quién soy, Lua?"
E_C19_Jan_Fray01_36,He vuelto.
E_C19_Jan_Fray01_37,¿Podremos vernos otra vez?
E_C19_Jan_Fray01_38,"Yo te encontraré, no importa cuánto hayas cambiado."
E_C19_Jan_Tanya01_01,"Roi, no has perdido el talento para cubrir tus huellas."
E_C19_Jan_Tanya01_02,Pero no lograrás engañarme.
E_C19_Jan_Tanya01_03,…
E_C19_Jan_Tanya01_04,"¿Por qué te fuiste, Roi?"
E_C19_Jan_Tanya01_05,Desapareciste sin decir una palabra…
E_C19_Jan_Tanya01_06,Unos años atrás
E_C19_Jan_Tanya01_07,"*Uf, uf* ¡No se dan por vencidos!"
E_C19_Jan_Tanya01_08,¡Kah!
E_C19_Jan_Tanya01_09,*Quejido*
E_C19_Jan_Tanya01_10,¿Cómo está tu herida?
E_C19_Jan_Tanya01_11,Solo es un rasguño.
E_C19_Jan_Tanya01_12,Usa esto para limpiar la sangre.
E_C19_Jan_Tanya01_13,…
E_C19_Jan_Tanya01_14,¿Acaso crees que me gusta ayudarte?
E_C19_Jan_Tanya01_15,Recuerda: esta es una operación conjunta.
E_C19_Jan_Tanya01_16,La pérdida de un miembro del equipo podría poner en riesgo toda la misión.
