KEY,Vietnamese
CS_CHE_H1_1_001,Chị May ~~!! Em đến chơi đây !!
CS_CHE_H1_1_002,Ồ kẹo cà rốt! Có kẹo cà rốt không ạ?!
CS_CHE_H1_1_003,Kẹo cà rốt...? Lần đầu tiên chị nghe đến loại kẹo đó...kẹo socola thì có nhưng...
CS_CHE_H1_1_004,Socola cũng được !
CS_CHE_H1_1_005,Yam Yam.. Ơ? Chị cao cao đằng kia là ai vậy? Hình như lần đầu thấy?
CS_CHE_H1_1_006,"À, ý em là Yanne?"
CS_CHE_H1_1_007,Một người cực kì cừ đấy! Cô ấy được biết đến với biệt danh là 'Kẻ sát rồng' !
CS_CHE_H1_1_008,"Trước đây có một quái rồng có tiếng tên là Rồng điên Svelta, một vài năm trước cô đánh bại nó mà không cần sự giúp đỡ của bất kì ai!"
CS_CHE_H1_1_009,...Rồng điên? ...Cái gì vậy chứ?
CS_CHE_H1_1_010,"Những con rồng đó vốn được sinh ra để che chở thế giới, tuy nhiên vì một lí do nào đó đã bị suy đồi và hóa điên."
CS_CHE_H1_1_011,"May, những thứ bạn nhờ, Vảy rồng, da và các nguyên liệu khác, tôi đã để ở ngoài kia rồi ~"
CS_CHE_H1_1_012,Cám ơn nhé! Hehe
CS_CHE_H1_1_013,A! Rồng! Những con rắn mối khổng lồ! Em biết là gì rồi! Chị cao lớn thật tuyệt !
CS_CHE_H1_1_014,"Dù sao thì cũng đừng để bác Thợ rèn ở phía đối diện nghe thấy nhé, ok?"
CS_CHE_H1_1_015,"Hehe, Jin là người tính tình rộng rãi mà, không sao đâu."
CS_CHE_H1_1_016,"Đợi đã! Hình như có gì thay đổi ở đây! Cửa hàng, rồi cả đồ chị mặc nữa!"
CS_CHE_H1_1_017,"Oh, vì tiệc Halloween tối nay mà có rất nhiều đơn đặt hàng quần áo tới"
CS_CHE_H1_1_018,Vậy nên cũng đã lâu lắm rồi chị mới được thử phát huy lại năng lực !!
CS_CHE_H1_1_019,Với năng lực đó thì không chỉ Cửa hàng bách hóa mà cô có thể trở thành thợ may nổi tiếng luôn đấy chứ?
CS_CHE_H1_1_020,"Ahaha, thực ra thì việc may đo quần áo cũng chỉ là sở thích thôi."
CS_CHE_H1_1_021,"Wow, thật dễ thương!"
CS_CHE_H1_1_022,Vậy của Luna đâu? Của em?
CS_CHE_H1_1_023,"Ah! Để xem nào chị đã chuẩn bị một số bộ cho trẻ em vừa với Luna đấy, thử vài cái xem nhé?"
CS_CHE_H1_1_024,Vâng! Đưa em nào!
CS_CHE_H1_1_025,Được rồi đợi chút nào ~ Chị mang một vài bộ tới đây!
CS_CHE_H1_1_027,Aaahhhh!
CS_CHE_H1_1_028,Chị May!! Có chuyện gì vậy?!
CS_CHE_H1_1_030,...Không thấy trả lời. Chắc phải đi vào xem ...
CS_CHE_H1_1_031,Eh! Tối mù !
CS_CHE_H1_1_032,"...Năng lượng bóng tối? Không, hình như không phải..."
CS_CHE_H1_1_034,...chị cao lớn...không lẽ...
CS_CHE_H1_1_035,...ơ...hình như là...
CS_CHE_H1_1_036,Chúng ta đang trượttttttttt!!!
CS_CHE_H1_2_001,...Huh...Chúng ta đang ở đâu đây..?
CS_CHE_H1_2_002,"Huhhh, đau quá...Đụng đầu rồi!"
CS_CHE_H1_2_003,Nhưng chị May đâu? Ah!
CS_CHE_H1_2_004,Cô ấy chỉ bị choáng thôi. May quá cô không sao.
CS_CHE_H1_2_005,Chị May! Đừng ngủ ngoài này! Chị sẽ bị cảm đấy!
CS_CHE_H1_2_006,Ugh...ummmm...huh? Yanne...? Luna...?
CS_CHE_H1_2_007,Đây là đâu? Tôi đang đi kiếm đồ cơ mà...
CS_CHE_H1_2_008,Tôi mở tủ để lấy đồ nhưng lại mất đâu 6 bộ nên đang tìm...
CS_CHE_H1_2_009,"Đợi đã, chúng ta sẽ nói chuyện sau. Tôi cảm thấy có gì đó... không lành..."
CS_CHE_H1_3_001,Kì thật. Một quả bí ngô với đầy quái vật bên trong...Chúng trông không giống những quái vật bất tử bình thường chút nào.
CS_CHE_H1_3_002,Chúng thật khác với những quái vật chúng ta thường thấy.
CS_CHE_H1_3_003,"Chị cao lớn, chúng là người xấu hả? Em có thể bắt chúng không?"
CS_CHE_H1_3_004,Nhưng mà chúng có những cái đầu thật xinh!
CS_CHE_H1_3_005,Hãy lấy chúng và trưng bày ở cửa hàng chị May nào!
CS_CHE_H1_3_006,"Ahaha, vốn dĩ chị đã có nhiều vật trang trí hình bí ngô rồi, cái đó có hơi..."
CS_CHE_H1_3_007,"Trông chúng có vẻ gầm ghè với chúng ta, trước tiên có lẽ phải hạ chúng mới có thể đi qua được."
CS_CHE_H1_4_001,Suỵt! Đợi xíu đã. Hình như...
CS_CHE_H1_4_002,...Cái gì vậy?
CS_CHE_H1_4_003,Không rõ nữa...nhưng trông chúng như loài linh hồn ma quỷ ẩn dưới hình thù con người...
CS_CHE_H1_4_004,Hình như còn một loài khác nữa thì phải?
CS_CHE_H1_4_006,Ơ? Cái gì nữa vậy?
CS_CHE_H1_4_007,Ahaha...um...kia là những bộ đồ tôi đã tìm kiếm tại cửa hàng...
CS_CHE_H1_4_008,"Hm, trông như những xác ướp tại Sa mạc Aegina mà đúng không?"
CS_CHE_H1_4_009,Cô ta quấn đầy bông băng! Có phải vô ta bị thương không? Oh~ Chúng ta giúp được không?
CS_CHE_H1_4_010,Ahahaha...
CS_CHE_H1_4_011,"Nhưng mà, kia là ai mới được chứ. Tại sao lại mặc trang phục của tôi..."
CS_CHE_H1_4_012,Theo những gì tôi cảm nhận được cô ta mang đầy vận khí của ma quỷ...
CS_CHE_H1_4_013,Vậy rốt cuộc là kẻ xấu đúng không? Tên ác quỷ xấu xa trộm cắp đồ của chị May!
CS_CHE_H1_4_014,Được rồi ~! Em sẽ lấy lại đồ cho chị !
CS_CHE_H1_4_015,Luna! Một mình nguy hiểm đấy!!
CS_CHE_H1_4_016,???
CS_CHE_H1_4_017,Đừng nóng vội!
CS_CHE_H1_4_018,...Hình như tấn công của Luna không có tác dụng đúng không?
CS_CHE_H1_4_019,Tấn công của chị May có tác dụng mà...Haizz
CS_CHE_H1_4_020,...Vừa nãy rõ ràng có vận khí gì đó từ trang phục May mặc và những tên ác quỷ mặc...
CS_CHE_H1_4_021,Ey? Cả 2 đều là đồ chị May làm đúng không?
CS_CHE_H1_4_022,"Uhm, Tôi nghĩ có gì đó liên quan đến những bộ đồ kia."
CS_CHE_H1_4_024,"May, bạn có mang theo bộ nào nữa không?"
CS_CHE_H1_4_025,"Ah, có... Có một bộ của trẻ em tôi định đưa cho Luna...và..."
CS_CHE_H1_4_026,...ngoài ra thì cũng còn một số bộ nữa nhưng mà...hehehe...
CS_CHE_H1_4_027,...?
