KEY,Russian
Sub1_Viska_Title,Побеждает сильнейший
Sub1_Viska_1_1_1,"А правда, что демоны опять зверствуют?"
Sub1_Viska_1_1_2,"Ты, что, не слышал о походе? Поговаривают, что могучие демоны вновь вторглись в наш мир и рыскают повсюду, убивая всех без разбору."
Sub1_Viska_1_1_3,Что-то происходит помимо этого... Священные рыцари церкви Луа каждый день отправляются разбираться с какими-то происшествиями.
Sub1_Viska_1_1_4,"Не думаю, что простым солдатам, как нам, есть до этого дело..."
Sub1_Viska_1_1_5,Поэтому-то Дэмия из рыцарей-защитников и отдала нам тот приказ.
Sub1_Viska_1_1_6,"Мол, мы должны спасаться бегством при любой возможности."
Sub1_Viska_1_1_7,"Ну да. Мы, наверное, справимся с парочкой низших демонов, типа скелетов и зомби,"
Sub1_Viska_1_1_8,но там же целые армии нежити...
Sub1_Viska_1_1_9,А уж сражаться с высшими демонами – чистой воды самоубийство.
Sub1_Viska_1_1_10,"Как бы там ни было, если мы заметим каких-нибудь демонов, нужно сразу же доложить командованию."
Sub1_Viska_1_1_11,Погоди-ка... Ты слышал?
Sub1_Viska_1_1_12,Тут кто-то есть... Кто здесь?!
Sub1_Viska_1_1_13,"*Зевает* Кажется, пахнет добычей... Пора собираться на охоту."
Sub1_Viska_1_1_14,"О, солдаты Орвелии. Привет."
Sub1_Viska_1_1_15,"Хм? Это что, ребенок?"
Sub1_Viska_1_1_16,"Девочка, ты как здесь оказалась? Тут опасно, повсюду демоны. Скорее иди домой."
Sub1_Viska_1_1_17,"Хочешь, я провожу тебя домой?"
Sub1_Viska_1_1_18,"А? Нет, не надо. Тем более..."
Sub1_Viska_1_1_19,Хм?
Sub1_Viska_1_1_20,Это же рискованно?
Sub1_Viska_1_1_21,"Вы же сказали, что демоны снова зверствуют? Не боитесь умереть?"
Sub1_Viska_1_1_22,Ну... это наша работа как-никак.
Sub1_Viska_1_1_23,"Раз уж мы об этом заговорили, у меня для вас хорошие новости."
Sub1_Viska_1_1_24,"Посмотрите на север. Видите что-нибудь там, далеко на горизонте?"
Sub1_Viska_1_1_25,"Э? Нет, я ничего не вижу..."
Sub1_Viska_1_1_26,"Погоди, я вижу какой-то дым..."
Sub1_Viska_1_1_27,Разве там не Лаймовая деревня? Которая на берегу Северного моря?
Sub1_Viska_1_1_28,"О, Лаймовая деревня на берегу моря? Как аппетитно звучит."
Sub1_Viska_1_1_29,"В любом случае, этой деревушке конец."
Sub1_Viska_1_1_30,И скоро они будут здесь.
Sub1_Viska_1_1_31,Полчища низших демонов.
