KEY,"ChineseTraditional"
BASE_RESULT_TYPE.SUCCESS,"已按照要求處理指令。因網路環境不穩定，請重試。"
BASE_RESULT_TYPE.FAIL,"網路環境不穩定，無法正常處理。請稍後再試。"
BASE_RESULT_TYPE.SESSION_ERROR,"由於長時間放置，已與伺服器中斷連結，請重新啟動遊戲。"
BASE_RESULT_TYPE.ACCOUNT_ERROR,"無效的帳號。"
BASE_RESULT_TYPE.UNHANDLED,"無法處理該請求。"
BASE_RESULT_TYPE.EXCEPTION,"發生內部錯誤。"
BASE_RESULT_TYPE.HTTP_ERROR,"請求連接至網頁時發生錯誤。"
BASE_RESULT_TYPE.PARSING_ERROR,"語法分析失敗。"
RESULT_TYPE.SUCCESS,"已按照要求處理指令。因網路環境不穩定，請重試。"
RESULT_TYPE.FAIL,"網路環境不穩定，無法正常處理。請稍後再試。"
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"找不到等級資訊。"
RESULT_TYPE.CANNOT_UPGRADE_MORE,"無法再進行強化。"
RESULT_TYPE.NOT_ENOUGH_GOLD,"金幣不足。"
RESULT_TYPE.NOT_ENOUGH_GEM,"紅寶石不足。"
RESULT_TYPE.INSUFFICIENT_ITEM,"材料不足。"
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"找不到級別資訊。"
RESULT_TYPE.CANNOT_UPGRADE_YET,"無法再進行強化。"
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"找不到所需的金幣資訊。"
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"找不到所需的材料資訊。"
RESULT_TYPE.SESSION_ERROR,"由於長時間放置，已與伺服器中斷連結，請重新啟動遊戲。"
RESULT_TYPE.ACCOUNT_ERROR,"無效的帳號。"
RESULT_TYPE.UNHANDLED,"動作未被執行。"
RESULT_TYPE.HTTP_ERROR,"網頁請求連接失敗。"
RESULT_TYPE.PARSING_ERROR,"無效的回覆。"
RESULT_TYPE.HERO_NOT_FOUND,"英雄不存在。"
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"裝備資訊不存在。"
RESULT_TYPE.EQUIP_NOT_OWNED,"未擁有該裝備。"
RESULT_TYPE.EQUIP_NOT_FOUND,"不存在的裝備。"
RESULT_TYPE.EQUIPPED,"配戴中的裝備。"
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"找不到裝備代碼。"
RESULT_TYPE.MAX_JOIN_REQUEST,"入會申請數量已超過限制。\n請取消一部分的入會申請再繼續。"
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"此公會的申請加入數已超過限制。"
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"所需的數值無效。"
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"無效的裝備材料。"
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"未持有的裝備材料。"
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"隊伍等級過低。"
RESULT_TYPE.MAX_MEMBER,"公會成員數已達上限。"
RESULT_TYPE.INVALID_RANK,"非公會成員權限。"
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,"找不到入會申請資訊。"
RESULT_TYPE.NAME_DUPLICATED,"重複的名稱。"
RESULT_TYPE.GUILD_MEMBER_EXIST,"公會中尚有公會成員。"
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,"該英雄已登錄為傭兵。"
RESULT_TYPE.MAX_MERCENARY,"超過傭兵登錄數上限。"
RESULT_TYPE.NOT_REGISTERED_MERCENARY,"未登錄的傭兵。"
RESULT_TYPE.ALREADY_JOINED,"已加入公會。"
RESULT_TYPE.LOG_NOT_FOUND,"戰鬥記錄不存在。"
RESULT_TYPE.INVALID_PLUNDER_RESULT,"無效的戰鬥記錄。"
RESULT_TYPE.ALREADY_CHASED,"已反擊。"
RESULT_TYPE.INVALID_CHAPTER_INDEX,"無效的任務場所。"
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,"找不到任務場所。"
RESULT_TYPE.COLLECT_ENDED,"已採集完畢。"
RESULT_TYPE.DEAD_HERO_EXIST,"無法掠奪已死亡的英雄。"
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,"找不到追擊資訊。"
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,"找不到遠征任務資訊。"
RESULT_TYPE.INVALID_TEAM_SLOT,"無效的遠征任務隊伍。"
RESULT_TYPE.ALREADY_HARVESTED,"任務已完成。"
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,"已達今日快速完成次數上限。"
RESULT_TYPE.COLLECT_NOT_ENDED,"任務尚未結束。"
RESULT_TYPE.RECORD_NOT_FOUND,"重播記錄不存在。"
RESULT_TYPE.ALREADY_DEFEND_REWARDED,"已獲得掠奪防守獎勵。"
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,"已達到今日掠奪防守獎勵次數上限。"
RESULT_TYPE.CHAPTER_NOT_COMPLETED,"該章節尚未完成。"
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,"找不到VIP等級數據。"
RESULT_TYPE.MAX_RES_COLLECT_TEAM,"目前所有隊伍都在進行任務中。"
RESULT_TYPE.NOW_COLLECTING,"目前隊伍正在進行任務中。"
RESULT_TYPE.INVALID_HERO_INDEX,"該英雄不存在或正在任務中。"
RESULT_TYPE.CHAPTER_NOT_FOUND,"章節不存在。"
RESULT_TYPE.DUNGEON_NOT_FOUND,"副本不存在。"
RESULT_TYPE.EMPTY_HERO_INDICES,"英雄欄位空白。"
RESULT_TYPE.CANNOT_PLAY_DUNGEON,"副本無法進行。"
RESULT_TYPE.NOT_ENOUGH_STAMINA,"體力不足。"
RESULT_TYPE.NOT_ENOUGH_PLAY_KEY,"鑰匙不足。"
RESULT_TYPE.INVALID_DIFF,"無效的難度。"
RESULT_TYPE.VERIFY_FAILED,"確認失敗。"
RESULT_TYPE.CHECK_FAILED,"檢查失敗。"
RESULT_TYPE.USER_CAMPAIGN_INFO_NOT_FOUND,"網路環境不穩，未能完整處理伺服器玩家資訊，還請您稍後再試。"
RESULT_TYPE.WRONG_CHAPTER_INDEX,"此內容目前無法進行。"
RESULT_TYPE.WRONG_DUNGEON_INDEX,"此內容目前無法進行。"
RESULT_TYPE.INVALID_STAR,"無效的星等資訊。"
RESULT_TYPE.ENCHANT_RESULT_NOT_FOUND,"重新鑑定資訊不存在。"
RESULT_TYPE.EQUIP_ITEM_SLOT_INDEX_MISMATCH,"重新鑑定的對象不同。"
RESULT_TYPE.OPTION_SLOT_INDEX_MISMATCH,"需重新鑑定的屬性欄位不同。"
RESULT_TYPE.OPTION_INDEX_MISMATCH,"需重新鑑定的屬性結果不同。"
RESULT_TYPE.PREV_OPTION_INDEX_MISMATCH,"被覆蓋的屬性與目前欲進行的不同。"
RESULT_TYPE.INVALID_OPTION_SLOT,"無效的屬性欄位。"
RESULT_TYPE.RANDOM_OPTION_DATA_ERROR,"無效的隨機屬性資訊。"
RESULT_TYPE.NO_HERO,"英雄不存在。"
RESULT_TYPE.HERO_DATA_NOT_FOUND,"英雄資訊不存在。"
RESULT_TYPE.ALREADY_OTHER_HERO_EQUIPPED,"已裝備於其他的英雄。"
RESULT_TYPE.ITEM_DATA_NOT_FOUND,"道具資訊不存在。"
RESULT_TYPE.EQUIP_ITEM_DATA_NOT_FOUND,"裝備資訊不存在。"
RESULT_TYPE.EQUIP_TAG_ERROR,"無效的裝備標記。"
RESULT_TYPE.TOO_LOW_GRADE,"級別過低。"
RESULT_TYPE.TOO_LOW_LEVEL,"等級過低。"
