KEY,ChineseSimplified
INFORM,公告
LEAGUE,赛区
ERROR,错误
SCORE_POSTFIX,分数
OVER_POSTFIX,以上
UNDER_POSTFIX,以下
MATCH.RANK_POSTFIX,名
MATCH.RANK_POSTFIX_1,名
MATCH.RANK_POSTFIX_2,名
MATCH.RANK_POSTFIX_3,名
BUY,购买
NUMBER_COUNT,{1}次
NICK_VALID_MESSAGE,[00FF00]此昵称可以使用。
NICK_INVALID_MESSAGE,[FF0000]此昵称无法使用。
NICK_CONFIRM_TITLE,使用昵称
NICK_CONFIRM_MESSAGE,是否要使用此昵称？\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,访客登入
UI_ENTER_NICKNAME,请输入昵称。
UI_NICKNAME_RULE_DESC,可以使用中文字、英文字、数字，限2~12字符。
GUILD_REQTEAMLEVEL,队伍等级{1}以上
GUILD_RANK_MEMBER,公会成员
GUILD_RANK_ADMIN,管理员
GUILD_RANK_MASTER,会长
GUILD_LASTLOGINTIME_TODAY,今日
GUILD_LASTLOGINTIME_DAY,{1}日
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1}小时
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,未满1小时
GUILD_MERCENARY_REGISTER_CONFIRM,被指派为佣兵的英雄无法参与远征任务。\n\n是否要将英雄指派为佣兵？
GUILD_WITHDRAW_POPUP_MESSAGE,是否要退出公会?\n退出公会后，{1}小时内无法使用公会功能。
GUILD_DESTROY_CONFIRM,[FF7F00]若解散公会，您目前的努力成果都将会归零。\n\n即使如此，仍要解散公会吗？\n\n解散公会时，7日内将无法使用公会系统。
GUILD_MERCENARY_RETURN_REWARD,英雄结束任务归来了。
GUILD_DELEGATE_MASTER,是否要转让会长职位给{1}？
GUILD_FREE_JOIN,自由加入
GUILD_ACCEPT_JOIN,审核加入
GUILD_ACTIVITY_RANKING,{1}名
GUILD_CHECK_NAME_MIN_LENGTH,至少需要输入3个字。
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,获得{1}公会点数
RESCOLLECT_PLUNDER_END_DAY_UNIT,日
RESCOLLECT_PLUNDER_END_HOUR_UNIT,小时
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,分
RESCOLLECT_PLUNDER_END_BEFORE,前
RESCOLLECT_NO_TEAM,没有可以进行远征的队伍。
RESCOLLECT_COLLECT_STARTED,远征任务开始了。
RESCOLLECT_START_COLLECT,开始任务
RESCOLLECT_START_PLUNDER,开始掠夺
RESCOLLECT_START_CHASE,反击
RESCOLLECT_COLLECT_RESULT_GOLD,[FFFF00]金币[-]
RESCOLLECT_NOGUILD,没有公会
RESCOLLECT_ITEMCOUNT,{1}个
RESCOLLECT_COLLECTPERHOUR,({1}个 / 小时)
RESCOLLECT_COLLECTING_REMAIN_TIME,正在透过探索获得资源...\n{1}小时{2}分后回归
RESCOLLECT_COLLECT_COMPLETED,探索完成
RESCOLLECT_COLLECT_COMPLETE_MSG,探索获得了{1}！
RESCOLLECT_COLLECTING,探索中...
RESCOLLECT_PLUNDER_SUCCESS,掠夺成功
RESCOLLECT_PLUNDER_SUCCESS_MSG,掠夺获得了{1}！
RESCOLLECT_BUY_CHEESE,购买{1}点掠夺体力。
RESCOLLECT_GIVEUP_PLUNDER_CONFIRM,您是否要放弃目前发现的掠夺目标？
ENTER_TRIAL_DUNGEON,进入副本
TRIAL_DUNGEON_HERO_KNIGHT,骑士的试炼
