KEY,"French"
Sub1_Rephy_1_1_1,"Guide de l'Étoile bleue"
Sub1_Rephy_1_1_2,"Derrière toute existence vit une âme."
Sub1_Rephy_1_1_3,"Même si l'existence touche à sa fin,"
Sub1_Rephy_1_1_4,"l'âme demeure dans le monde de lumière."
Sub1_Rephy_1_1_5,"Elles retournent toutes dans leur foyer,"
Sub1_Rephy_1_1_6,"l'Étoile bleue."
Sub1_Rephy_1_1_7,"Dans le jardin d'Asiphia, reine de l'Étoile bleue,"
Sub1_Rephy_1_1_8,"elles reposent en paix dans cet endroit paisible."
Sub1_Rephy_1_1_9,"Elles attendent d'être rappelées par Lua"
Sub1_Rephy_1_1_10,"pour retourner dans le monde de lumière."
Sub1_Rephy_1_1_11,"Évidemment, toutes les âmes n'y parviennent pas."
Sub1_Rephy_1_1_12,"Seules les âmes pures qui ont réussi à traverser le Pont stellaire"
Sub1_Rephy_1_1_13,"peuvent se rendre sur l'Étoile bleue."
Sub1_Rephy_1_1_14,"Les âmes qui se perdent en chemin vers le Pont stellaire"
Sub1_Rephy_1_1_15,"seront souillées par les ténèbres."
Sub1_Rephy_1_1_16,"C'est pourquoi elles ont besoin de guides spirituels."
Sub1_Rephy_1_1_17,"Afin que les âmes ne se perdent pas en chemin,"
Sub1_Rephy_1_1_18,"grâce aux lanternes qui illuminent les Collines brumeuses..."
Sub1_Rephy_1_1_19,"............................................."
Sub1_Rephy_1_1_20,"Tu m'écoutes ?"
Sub1_Rephy_1_1_21,"Rephy... Rephy ! Rephy !"
Sub1_Rephy_1_2_1,"Hein ? Je ne dormais pas. Ce n'est pas vrai !"
Sub1_Rephy_1_2_2,"Rephy ! Comment oses-tu ? Ça fait combien de fois ?"
Sub1_Rephy_1_2_3,"Je te parle du travail le plus important de la tribu Tamian, et toi, tu t'endors..."
Sub1_Rephy_1_2_4,"Quoi ? Non ! Rephy écoutait tout le temps !"
Sub1_Rephy_1_2_5,"On peut utiliser la Lanterne divine que la sentinelle de l'Étoile bleue nous a donnée,"
Sub1_Rephy_1_2_6,"et allumer... la flamme des Collines brumeuses ?"
Sub1_Rephy_1_2_7,"Mais qu'est-ce que tu racontes ?"
Sub1_Rephy_1_2_8,"Écoute ! On allume les Collines brumeuses comme un phare, avec une lumière vive !"
Sub1_Rephy_1_2_9,"Puis, on illumine de nouveau le Pont stellaire, afin que les âmes perdues puissent trouver leur chemin jusqu'à l'Étoile bleue..."
Sub1_Rephy_1_2_10,"Zzz... Zzz..."
Sub1_Rephy_1_2_11,"Tu dors encore ?"
Sub1_Rephy_1_2_12,"*Soupir* Pourquoi le sage a-t-il choisi ce garçon désinvolte comme successeur avant de partir pour l'Étoile bleue ?"
Sub1_Rephy_1_2_13,"Qu'est-ce que j'ai fait de mal ? Pourquoi m'avez-vous chargé de ce garçon ?"
Sub1_Rephy_1_2_14,"Oh ? *Sniff* Ça... Je sens quelque chose ! Hé ! Je sens quelque chose !"
Sub1_Rephy_1_2_15,"Comment oses-tu ? Je ne sens pas mauvais ? J'ai pris un bain, il y a un mois à peine..."
Sub1_Rephy_1_2_16,"Non... Attends. Ce doit être..."
