KEY,English
CS_CHE_H1_1_001,May~!! Let's play!!
CS_CHE_H1_1_002,Carrot candy! Do you have any Carrot candy?!
CS_CHE_H1_1_003,"Carrot Candy? I've never heard of that...well, I do have chocolate, though?"
CS_CHE_H1_1_004,Chocolate is good too!
CS_CHE_H1_1_005,"Nom nom...eh, who's that tall lady over there? Never seen her before!"
CS_CHE_H1_1_006,"Ah, you mean Yanne?"
CS_CHE_H1_1_007,"She's amazing, you know! She even has the title of a 'Dragon Slayer'!"
CS_CHE_H1_1_008,"There used to be this evil, scary dragon called Svelta the Mad a few years ago. She slew that dragon alone, without any help!"
CS_CHE_H1_1_009,"Mad? What, was he always angry?"
CS_CHE_H1_1_010,"Some dragons get corrupted and go crazy. They wreak havoc instead of guarding the world, as they should."
CS_CHE_H1_1_011,"May, I put the requested Dragon Scales, Hide and other materials outside."
CS_CHE_H1_1_012,Thank you~hehe.
CS_CHE_H1_1_013,"Dragons are those huge fat lizards, right? Wow! You're really strong, tall sis!!"
CS_CHE_H1_1_014,"Just don't let the blacksmith across the road catch you saying that, ok?"
CS_CHE_H1_1_015,"Hehe, Jin is a nice person, so it should be fine."
CS_CHE_H1_1_016,"By the way, May! Something feels different! The shop, and your clothes too!"
CS_CHE_H1_1_017,"Oh, there were a lot of costume requests due to the Halloween festival tonight."
CS_CHE_H1_1_018,"So, I gave it my all!"
CS_CHE_H1_1_019,"With that level of skill, you wouldn't have to continue this general store business. You'd make it big as a famous tailor, no doubt."
CS_CHE_H1_1_020,"Ahaha, well, making clothes is more of a hobby."
CS_CHE_H1_1_021,"Wow, so cute!"
CS_CHE_H1_1_022,I want one! Anything for me?
CS_CHE_H1_1_023,"Ah, there should be several outfits just your size. Do you want to try some on?"
CS_CHE_H1_1_024,Yes! Gimme gimme!
CS_CHE_H1_1_025,"Ok~ Just wait a sec, I'll bring a few costumes!"
CS_CHE_H1_1_027,Aaaaaah!
CS_CHE_H1_1_028,May!! Did something happen?!
CS_CHE_H1_1_030,"...No answer. Can't be helped, let's go in."
CS_CHE_H1_1_031,Eh? I can't see!!
CS_CHE_H1_1_032,"..The power of darkness? No, it's a bit different..."
CS_CHE_H1_1_034,"Tall sis, this is..."
CS_CHE_H1_1_035,"...Yeah, seems like it."
CS_CHE_H1_1_036,We're faaaaaaalllllllliiiiiiiiiiiing--!!!
CS_CHE_H1_2_001,....Ugh...where are we..?
CS_CHE_H1_2_002,"Uuuu, it hurts...I hit my head!"
CS_CHE_H1_2_003,But where's May...ah!
CS_CHE_H1_2_004,"She's only unconscious. Thankfully, she isn't hurt."
CS_CHE_H1_2_005,May! No sleeping outdoors! You'll catch a cold!
CS_CHE_H1_2_006,Ugh....ummm....huh? Yanne...? Luna...?
CS_CHE_H1_2_007,Where is this? I was looking for my costumes...
CS_CHE_H1_2_008,"I was rummaging through the wardrobes, but about six were missing, so..."
CS_CHE_H1_2_009,"Wait, we'll talk later. I feel something...ominous."
CS_CHE_H1_3_001,Weird. These pumpkin-covered monsters...they aren't normal undead.
CS_CHE_H1_3_002,They feel very different from the undead usually seen in our world..
CS_CHE_H1_3_003,"Tall sis, they're still the bad guys, right? I can hit them, right?"
CS_CHE_H1_3_004,"Still, they have cute heads!"
CS_CHE_H1_3_005,Let's take them off and display them at May's shop!
CS_CHE_H1_3_006,"Ahaha, I already have plenty of pumpkin themed accessories back at the shop, so..."
CS_CHE_H1_3_007,"They may be different, but they're still hostile. We're breaking through."
CS_CHE_H1_4_001,"Shh, stop for a sec. That's..."
CS_CHE_H1_4_002,...What's that?
CS_CHE_H1_4_003,"I don't know...but they look like evil spirits. They probably took the form of people from our world, though..."
CS_CHE_H1_4_004,"There's one that stands out, too!"
CS_CHE_H1_4_006,Eh? What is it?
CS_CHE_H1_4_007,Ahahaha...um...that's one of the missing costumes I was looking for back at the shop.
CS_CHE_H1_4_008,"Hm, themed after the mummies back at Aegina Desert, right?"
CS_CHE_H1_4_009,She's only wearing bandages! Is she hurt?
CS_CHE_H1_4_010,Ahahaha...
CS_CHE_H1_4_011,"Still, I don't understand. Who is that, and why is she wearing my costume...?"
CS_CHE_H1_4_012,"She does feel similar to the other evil spirits, but..."
CS_CHE_H1_4_013,"She's still a bad guy, right? A baddie thief that stole May's costume!"
CS_CHE_H1_4_014,I'm gonna get it back!!
CS_CHE_H1_4_015,Luna! It's dangerous to go alone!
CS_CHE_H1_4_016,???
CS_CHE_H1_4_017,Don't rush things!
CS_CHE_H1_4_018,...Did Luna's attack just not work?
CS_CHE_H1_4_019,"May's attack worked, though...uuu...."
CS_CHE_H1_4_020,...I definitely felt some kind of aura spark between the costumes...
CS_CHE_H1_4_021,Eh? You mean the ones May made?
CS_CHE_H1_4_022,Yes. I guess something is going on with the costumes here.
CS_CHE_H1_4_024,"May, do you have any other costumes on hand?"
CS_CHE_H1_4_025,"Ah, yes...they're mostly the ones I was going to show Luna...and..."
CS_CHE_H1_4_026,"...a few others, hehehe..."
CS_CHE_H1_4_027,....?
CS_CHE_H1_4_028,"Well, let's see."
CS_CHE_H1_4_029,Cute! Very cute! I love it!
CS_CHE_H1_4_030,"Ahaha, thanks, Luna! You're too cute~"
CS_CHE_H1_4_032,"....So, this is the only thing that fits me, right?"
CS_CHE_H1_4_033,Haha...this is a bit embarassing.
CS_CHE_H1_4_034,"Ahaha, it is kind of...breezy, right?"
CS_CHE_H1_4_035,"...B, but it looks really good!"
CS_CHE_H1_4_036,"Bunny ears, bunny ears!"
CS_CHE_H1_4_037,You look like a grown up Luna!
CS_CHE_H1_4_038,"...Haha, well, can't be helped."
CS_CHE_H1_4_039,"Anyway, I have a hunch. To defeat the costume-wearing evil spirits..."
CS_CHE_H1_4_040,we need to be wearing May-made costumes ourselves.
CS_CHE_H1_4_041,"Now then, carefully..."
CS_CHE_H1_4_042,Chaaaaaaargeeeee!!!!
CS_CHE_H1_4_043,"...Hahahaha, she's funny."
CS_CHE_H1_4_044,"Ah, hell with it. Hey~wait for me!"
CS_CHE_H1_4_045,"Ah! Luna, I already said it's dangerous to go alone!"
