KEY,"Korean"
BASE_RESULT_TYPE.SUCCESS,"요청하신대로 명령이 처리되었습니다. 네트워크 환경이 불안정하오니 다시 시도해주세요."
BASE_RESULT_TYPE.FAIL,"네트워크 환경이 불안정하여, 정상적인 처리를 하지 못했습니다.\n잠시 후 시도해주세요."
BASE_RESULT_TYPE.SESSION_ERROR,"장시간 아무 행동도 하지 않아 서버와의 연결이 끊겼습니다.\n게임을 다시 시작해주세요."
BASE_RESULT_TYPE.ACCOUNT_ERROR,"잘못된 계정입니다."
BASE_RESULT_TYPE.UNHANDLED,"처리할 수 없는 요청입니다."
BASE_RESULT_TYPE.EXCEPTION,"내부 오류가 발생하였습니다."
BASE_RESULT_TYPE.HTTP_ERROR,"웹 요청중 오류가 발생하였습니다."
BASE_RESULT_TYPE.PARSING_ERROR,"구문 분석에 실패하였습니다."
RESULT_TYPE.SUCCESS,"요청하신대로 명령이 처리되었습니다. 네트워크 환경이 불안정하오니 다시 시도해주세요."
RESULT_TYPE.FAIL,"네트워크 환경이 불안정하여, 정상적인 처리를 하지 못했습니다. 잠시 후 시도해주세요."
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"레벨정보를 찾을 수 없습니다."
RESULT_TYPE.CANNOT_UPGRADE_MORE,"더 이상 강화할 수 없습니다."
RESULT_TYPE.NOT_ENOUGH_GOLD,"골드가 부족합니다."
RESULT_TYPE.NOT_ENOUGH_GEM,"루비가 부족합니다."
RESULT_TYPE.INSUFFICIENT_ITEM,"재료아이템이 부족합니다."
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"등급정보를 찾을 수 없습니다."
RESULT_TYPE.CANNOT_UPGRADE_YET,"아직 강화할 수 없습니다."
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"필요한 골드정보를 찾을 수 없습니다."
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"필요한 재료아이템정보를 찾을 수 없습니다."
RESULT_TYPE.SESSION_ERROR,"장시간 아무 행동도 하지 않아 서버와의 연결이 끊겼습니다.\n게임을 다시 시작해주세요."
RESULT_TYPE.ACCOUNT_ERROR,"잘못된 계정입니다."
RESULT_TYPE.UNHANDLED,"처리되지 않았습니다."
RESULT_TYPE.HTTP_ERROR,"웹요청이 실패하였습니다."
RESULT_TYPE.PARSING_ERROR,"응답구문이 잘못되었습니다."
RESULT_TYPE.HERO_NOT_FOUND,"존재하지 않는 영웅입니다."
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"장비정보가 존재하지 않습니다."
RESULT_TYPE.EQUIP_NOT_OWNED,"장비를 소지하지 않았습니다."
RESULT_TYPE.EQUIP_NOT_FOUND,"존재하지 않는 장비입니다."
RESULT_TYPE.EQUIPPED,"착용중인 장비입니다."
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"장비코드를 찾을 수 없습니다."
