KEY,English
28DAYS_ATTENDANCE,Attendance
NEWBIE_ATTENDANCE,15 Days of Special Gifts!
VERONICAS_SPECIAL_PACKAGE,Veronica's Hero Completion Roll Book
COMEBACK_ATTENDANCE,Welcome Back Gift!!
7DAYS_SPECIAL_ATTENDANCE,Weekly Special Attendance Event
MAY_SPECIAL_PACKAGE,May’s Beginner Roll Book
9TH_CHAPTER_ATTENDANCE,Chapter 9 Update Celebration!!
GOD_KING_2019_ATTENDANCE_NAME,The God King's Special 14-Day Roll Book
1000TH_ANNIVERSARY_ATTENDANCE_NAME,"♡Happy 1,000 Days♡ Thank You Gift!"
2020_NEW_YEAR_ATTENDANCE_TITLE,2020! Special Roll Book
MAY_SPECIAL_PACKAGE_2020,May's Beginner Roll Book
