KEY,Japanese
Sub1_Rephy_1_1_1,青き星の導き手
Sub1_Rephy_1_1_2,すべての生命には魂があるという
Sub1_Rephy_1_1_3,命が終わりを迎えても魂だけは
Sub1_Rephy_1_1_4,この光の世界に残っている
Sub1_Rephy_1_1_5,そしてすべての魂の故郷、
Sub1_Rephy_1_1_6,青き星へと還るという
Sub1_Rephy_1_1_7,青き星の女王アーシピア様の
Sub1_Rephy_1_1_8,安息の庭で平穏に過ごすのだ
Sub1_Rephy_1_1_9,再びルア様の導きにより
Sub1_Rephy_1_1_10,光の世界へと戻るその時まで
Sub1_Rephy_1_1_11,ただし、すべての魂がそうなるわけではない
Sub1_Rephy_1_1_12,星光の橋を無事に渡り終えた
Sub1_Rephy_1_1_13,純白の魂だけが青き星にたどり着ける
Sub1_Rephy_1_1_14,星光の橋で行先を失った魂は
Sub1_Rephy_1_1_15,そのまま闇に染まってしまうのだという
Sub1_Rephy_1_1_16,だからこそ我々には魂の導き手が必要なのだ
Sub1_Rephy_1_1_17,彼らが道を見失わないように
Sub1_Rephy_1_1_18,常に[薄明かりの丘]に灯火を...
Sub1_Rephy_1_1_19,.............................................
Sub1_Rephy_1_1_20,聞いておるのか...
Sub1_Rephy_1_1_21,レピィ...おいレピィ！...レ・ピ・ィ！！！
Sub1_Rephy_1_2_1,んあっ！？レピィ、寝てないよ！寝てないもん！
Sub1_Rephy_1_2_2,レピィ！コイツめ、これで何度目だ！
Sub1_Rephy_1_2_3,我がタミア族の最も大事な役目について教えているときに、居眠りとは...
Sub1_Rephy_1_2_4,違う違う～レピィ、ぜ～んぶ聞いてたよ。
Sub1_Rephy_1_2_5,レピィたちが青き星の番人からもらった、この[神の灯火]で[薄明かりの丘]にボォーッ！！
Sub1_Rephy_1_2_6,っと、火をつければいいんでしょ？
Sub1_Rephy_1_2_7,何をバカなことを言っとるんじゃ！
Sub1_Rephy_1_2_8,真面目に聞かんか！薄明かりの丘で明かりを灯すんじゃ！灯台のように明るくな！
Sub1_Rephy_1_2_9,そうすれば、星光の橋が再び照らされ、道を見失った魂が青き星に無事たどり着け...
Sub1_Rephy_1_2_10,Zzzzzz......Zzzzzzzzz.....................
Sub1_Rephy_1_2_11,......また寝ておる......
Sub1_Rephy_1_2_12,やれやれ...青き星に行かれた賢者様は、なぜこんな能天気なヤツを後継者とお決めになったのだ...
Sub1_Rephy_1_2_13,ああ、ご先祖様よ。何かわたくしが罪でも犯したのでしょうか...
Sub1_Rephy_1_2_14,ん？クンクン...におい...においがする！村長！におうよ！
Sub1_Rephy_1_2_15,こいつ！誰に向かって臭うなどと...わしゃ風呂に入ってまだひと月しか...
Sub1_Rephy_1_2_16,いや...待てよ...これは間違いない...！！
Sub1_Rephy_1_2_17,暗黒のにおい...イヤなにおいがする！
Sub1_Rephy_1_2_18,これは闇の魂だ！
Sub1_Rephy_1_2_19,レピィ！待つのじゃ、一人で行ってはならん！
Sub1_Rephy_1_3_1,イヤなにおい...闇の魂が満ちてる。これは魔族だよ！
Sub1_Rephy_1_3_2,まさか灯守りの村にやって来るなんて！
Sub1_Rephy_1_3_3,さぁみんな、おいで！森の魂たちよ！レピィを手伝って！
Sub1_Rephy_1_4_1,へへっ、どうだ～い！魂の導き手レピィ様の腕、さすがでしょ？
Sub1_Rephy_1_4_2,...キミは？？
Sub1_Rephy_1_4_3,.....................................
Sub1_Rephy_1_4_4,タミア族が...なんで闇の魂に！？
Sub1_Rephy_1_4_5,......一緒...に...光の魂...みんな...一緒...
Sub1_Rephy_1_4_6,...闇の...底へ...
Sub1_Rephy_1_4_7,そんな！レピィの言うこと聞いて！しっかりするんだ！
Sub1_Rephy_1_4_8,こっちだよ！この灯火についてきて！絶対闇に染まっちゃダメ！
Sub1_Rephy_1_5_1,......これは何事じゃ...
Sub1_Rephy_1_5_2,エリドラの森、わしらの許可がない限り、誰も足を踏み入れられない灯守りの村に...魔族じゃと...
Sub1_Rephy_1_5_3,先ほどの...あの闇の魂は、我ら一族の者じゃったのか？
Sub1_Rephy_1_5_4,......うん...
Sub1_Rephy_1_5_5,レピィ...助けてあげられなかった...ずっと闇から救い出そうとしたのに...
Sub1_Rephy_1_5_6,神の灯火を...一生懸命ともしたのに...なんで...
Sub1_Rephy_1_5_7,ウソつき！灯りをともせば、みんな星光の橋を無事に渡れるって言ったじゃないか！
Sub1_Rephy_1_5_8,レピィよ...落ち着きなさい...あれは神の灯火だけではできぬことじゃ。
Sub1_Rephy_1_5_9,薄明かりの丘で行わねば、道を見失った魂は光についてこれないと言ったであろう...
Sub1_Rephy_1_5_10,じゃあ...薄明かりの丘でレピィが灯りをともせば...
Sub1_Rephy_1_5_11,みんな無事に魂の故郷...青き星に帰れるってこと？
Sub1_Rephy_1_5_12,もちろんじゃ。こいつ...居眠りばかりしていたわけでもなさそうじゃの。
Sub1_Rephy_1_5_13,星光の橋が最も暗くなる所が、薄明かりの丘なのじゃ。
Sub1_Rephy_1_5_14,そこで道を見失うとあのように...闇の魂となってしまう。
Sub1_Rephy_1_5_15,ふぅ～よかった。
Sub1_Rephy_1_5_16,レピィ、てっきり神の灯火がニセモノだと思って驚いちゃった。
Sub1_Rephy_1_5_17,ばかもの！その神の灯火は、我がタミア族の最も大事な宝なのじゃぞ！
Sub1_Rephy_1_5_18,青き星の番人、神竜ザコビニが一族に託した神聖なる任務！
Sub1_Rephy_1_5_19,灯火で星光の橋を照らし、光の魂を青き星に導かねばならんのじゃ。
Sub1_Rephy_1_5_20,そうだったのかぁ～ザコビニおじさん、すごい！
Sub1_Rephy_1_5_21,やれやれ...頭痛が...こりゃ話にならん。
Sub1_Rephy_1_5_22,しかし...タミア族の魂まで闇に染まるとはな...
Sub1_Rephy_1_5_23,もはや、薄明かりの丘もあまり長くはないか...いかんいかん...
Sub1_Rephy_1_5_24,ついに時が来たな。ゴホン！タミア族の村長であるわしが、魂の導き手レピィに命じる！
Sub1_Rephy_1_5_25,うんうん、レピィ聞いてるよ。なに？
Sub1_Rephy_1_5_26,...そなたに、この世界の薄明かりの丘を探し、神の灯火を灯す事を命じる。
Sub1_Rephy_1_5_27,すぐに灯守りの村を出なさい。
