KEY,Portuguese
E_C19_August_Phillop01_01,"Feliz aniversário, Phillop!"
E_C19_August_Phillop01_02,Feliz aniversário. Hehe.
E_C19_August_Phillop01_03,"Muito obrigado, meus amigos bárbaros!"
E_C19_August_Phillop01_04,Como vocês sabiam que eu gosto de beber? Hoho!
E_C19_August_Phillop01_05,Rumores pelos quatro cantos da terra dizem que o rei dos anões é um beberrão insaciável.
E_C19_August_Phillop01_06,"Quem mais poderia acompanhá-lo na bebida além de nós, os bárbaros?"
E_C19_August_Phillop01_07,"Pode beber à vontade! É por minha conta, como presente de aniversário."
E_C19_August_Phillop01_08,"Juntei bastante dinheiro, sabe?"
E_C19_August_Phillop01_09,Não subestime o grande Phillop! Pode acabar se arrependendo!
E_C19_August_Phillop01_10,Não é culpa minha se você entrar em falência! Glug glug glug.
E_C19_August_Phillop01_drink1,1ª rodada
E_C19_August_Phillop01_drink2,5ª rodada
E_C19_August_Phillop01_drink3,13ª rodada
E_C19_August_Phillop01_11,"Lá de trás das Colinas de Trina, vinha a 35ª tropa do exército draconiano!!!"
E_C19_August_Phillop01_12,"Aí joguei meu machado neles, e os rachei ao meio!!"
E_C19_August_Phillop01_13,Aqueles idiotas! Foi tão engraçado vê-los fugir como galinhas assustadas! Hohoho!!
E_C19_August_Phillop01_14,Você não havia dito que a 28ª tropa era a última?
E_C19_August_Phillop01_15,Hohoho. Você deve ter ouvido errado! A 35ª tropa foi a última!
E_C19_August_Phillop01_16,Hum... Beberrão insaciável? Acho que foram rumores criados por ele mesmo.
E_C19_August_Phillop01_17,Mas!! Mesmo voltando vitorioso para casa!!
E_C19_August_Phillop01_18,Minhas filhas disseram que eu estava fedendo a suor e que era para eu sair de perto!!!
E_C19_August_Phillop01_19,Como é que podem falar assim com seu próprio pai?! Buáááá!!
E_C19_August_Phillop01_20,"Gau, vamos embora?"
E_C19_August_Phillop01_21,Acho que ele não pode beber mais.
E_C19_August_Phillop01_22,Mas... Ele está chorando que nem bebê... Não dá para deixá-lo sozinho...
E_C19_August_Phillop01_23,Um momento!!!!!!!!!!
E_C19_August_Phillop01_24,Que susto!
E_C19_August_Phillop01_25,Ainda tenho uma coisa importante para falar!!
E_C19_August_Phillop01_26,"É um segredo e tanto, por isso mantenham sigilo."
E_C19_August_Phillop01_27,Apenas vocês devem saber disso.
E_C19_August_Phillop01_29,"Lá de trás das Colinas de Trina, vinha a 41ª tropa..."
