KEY,Russian
E_C19_Nov_Aisha01_01,"Дорогая Аиша, с днём рождения!"
E_C19_Nov_Aisha01_02,"С каждым днём Вы становитесь всё прекраснее и прекраснее, что мой подарок на Вашем фоне будет выглядеть совсем простенько."
E_C19_Nov_Aisha01_03,"К тому же, этот великолепный, красивый сад для праздника..."
E_C19_Nov_Aisha01_04,Совсем под стать дочери семьи Дафнел.
E_C19_Nov_Aisha01_05,"Вы преувеличиваете. Дорогие гости, спасибо, что несмотря на свою занятость, выделили время и пришли сюда."
E_C19_Nov_Aisha01_06,"Аиша, не подарите ли Вы мне танец?"
E_C19_Nov_Aisha01_07,"Благодарю Вас. Однако, меня уже ждут другие гости."
E_C19_Nov_Aisha01_08,А не хотите немного прогуляться в ту сторону?
E_C19_Nov_Aisha01_09,"К сожалению, не смогу, я должна встречать и других гостей."
E_C19_Nov_Aisha01_10,Но спасибо Вам за приглашение.
E_C19_Nov_Aisha01_11,Даже не отдохнуть... Поэтому я и не хотела устраивать вечеринку в честь дня рождения.
E_C19_Nov_Aisha01_12,Если бы только отец не настаивал на грандиозном праздновании и не был таким упёртым...
E_C19_Nov_Aisha01_13,"О, Присци..."
E_C19_Nov_Aisha01_14,"Вот Вы где, Аиша. С днём рождения!"
E_C19_Nov_Aisha01_15,С-спасибо. Давно не виделись.
E_C19_Nov_Aisha01_16,Я Вас напугал? Прощу прощения. Я просто очень рад Вас снова увидеть...
E_C19_Nov_Aisha01_17,Всё в порядке. Как Вы поживали?
E_C19_Nov_Aisha01_18,"У-уф... Мда... А человек, от которого я хочу услышать слова поздравления, меня не поздравляет..."
E_C19_Nov_Aisha01_19,"Что за дела, это ведь мой день рождения..."
E_C19_Nov_Aisha01_20,"Вы устали? Это и не удивительно, ведь так много народу пришло."
E_C19_Nov_Aisha01_21,"Всё в порядке. Они ведь здесь, чтобы отпраздновать мой день рождения."
E_C19_Nov_Aisha01_22,Поэтому я должна ухаживать за гостями.
E_C19_Nov_Aisha01_23,Хотя в этот раз мне хотелось бы провести этот день более скромно...
E_C19_Nov_Aisha01_24,"Ничего не поделаешь. Ведь это задача, которую я должна выполнить."
E_C19_Nov_Aisha01_25,"Наверняка она волнуется, но всё равно так стойко встречает гостей."
E_C19_Nov_Aisha01_26,"Вот она, дочь безукоризненной семьи Дафнел."
E_C19_Nov_Aisha01_27,Извините! Не могли бы Вы мне немного помочь?
E_C19_Nov_Aisha01_28,Конечно!
E_C19_Nov_Aisha01_29,"Кстати, Присцилла, а Вы поздравили Аишу с днём рождения?"
E_C19_Nov_Aisha01_30,"Ещё не выдалось случая. Аиша очень занята, да и я..."
E_C19_Nov_Aisha01_31,Действительно... Ничего не поделаешь. Аиша Вас поймёт.
E_C19_Nov_Aisha01_32,Очень надеюсь на это...
E_C19_Nov_Aisha01_33,Что же поделать... Ведь её окружило такое количество гостей.
E_C19_Nov_Aisha01_34,Я и подарок подготовила... Но смогу ли вручить его сегодня?
E_C19_Nov_Aisha01_35,"Присцилла! Подойдите сюда, пожалуйста!"
E_C19_Nov_Aisha01_36,"Иду-иду, секунду!"
E_C19_Nov_Aisha01_37,Уже и ночь насупила...
E_C19_Nov_Aisha01_38,"Организация праздника, оказывается, работа не из лёгких..."
E_C19_Nov_Aisha01_39,"Ох, точно! Когда же всё это закончится?"
E_C19_Nov_Aisha01_40,Всё ли с ней в порядке... Она выглядит очень уставшей...
E_C19_Nov_Aisha01_41,"Спасибо Вам за сегодня, было очень весело! В следующий раз приходите ко мне домой на вечеринку!"
E_C19_Nov_Aisha01_42,Спасибо. Счастливого Вам пути.
E_C19_Nov_Aisha01_43,"Уфф, всё закончилось... Как же я устала... Теперь можно и отдохнуть..."
E_C19_Nov_Aisha01_44,А который сейчас час? Есть ли у меня хотя бы 30 минут до полуночи?..
E_C19_Nov_Aisha01_45,"Погоди-ка, уже так поздно?!"
E_C19_Nov_Aisha01_46,"Вы хорошо потрудились. Всё остальное можно прибрать завтра, поэтому сегодня ступайте отдохнуть."
E_C19_Nov_Aisha01_47,"До конца сегодняшнего дня, правда, осталось всего лишь несколько минут."
E_C19_Nov_Aisha01_48,Хоро... Что? Сейчас сколько времени?
E_C19_Nov_Aisha01_49,Без десяти минут полночь.
E_C19_Nov_Aisha01_50,А-Аиша! Подождите секунду!
E_C19_Nov_Aisha01_51,"Присцилла! Хорошо, что ты пришла. Я..."
E_C19_Nov_Aisha01_52,"Извините, но не могли бы Вы пройти со мной сюда?"
E_C19_Nov_Aisha01_53,Что?
E_C19_Nov_Aisha01_54,"Вы, наверное, очень устали, но прошу Вас."
E_C19_Nov_Aisha01_55,Мне надо кое-что Вам сказать...
E_C19_Nov_Aisha01_56,"Ммм, хорошо. А ты, Присцилла, ты в порядке? Не устала?"
E_C19_Nov_Aisha01_57,"Нет, я не устала. Так вот, я хотела Вам сказать..."
E_C19_Nov_Aisha01_58,"С днём рождения, дорогая Аиша. Это не что-то сверхграндиозное..."
E_C19_Nov_Aisha01_59,Но до полуночи я обязательно хотела Вам это подарить.
E_C19_Nov_Aisha01_60,Меня устроит что угодно! Если это от тебя!
E_C19_Nov_Aisha01_61,"Это самый лучший подарок из всех, что я получила за сегодня! Спасибо большое!"
E_C19_Nov_May01_01,"О-хо-хо, хи-хи, ха-ха!"
E_C19_Nov_May01_02,"Мэй, выглядит воодушевлённой."
E_C19_Nov_May01_03,Ведь до дня рождения осталось всего-ничего. С каждым днём она будет становиться ещё более взволнованной.
E_C19_Nov_May01_04,Что бы сделать для неё в этом году...
E_C19_Nov_May01_05,Луна! Луна хочет кое-что сделать!
E_C19_Nov_May01_06,Я хочу сделать Мэй подарок-сюрприз!
E_C19_Nov_May01_07,Подарок-сюрприз?
E_C19_Nov_May01_08,"Да! Вот, что я придумала..."
E_C19_Nov_May01_09,D-2
E_C19_Nov_May01_10,"О, какой милый! Сколько он стоит?"
E_C19_Nov_May01_11,Ммм... Может подождать и купить его на день рождения!
E_C19_Nov_May01_12,Фейерверк? Вау... Как интересно! Было бы здорово.
E_C19_Nov_May01_13,Но сейчас у меня нет времени...
