KEY,"English"
E_C19_Jan_Fray01_01,"I'm back here again... This year, too..."
E_C19_Jan_Fray01_02,"I know this won't bring back any of my memories back, but..."
E_C19_Jan_Fray01_03,"Aren't you Frey, the one who people call the Priestess of Light?"
E_C19_Jan_Fray01_04,"Grand Elidoran Sage, greetings from the servant of Lua."
E_C19_Jan_Fray01_05,"Hahaha, I am well, thanks to you."
E_C19_Jan_Fray01_06,"You've already grown into a young lady... you were only a small baby when I first met you."
E_C19_Jan_Fray01_07,"A baby? How did you.."
E_C19_Jan_Fray01_08,"Didn't Iris tell you?"
E_C19_Jan_Fray01_09,"I am the one who first found you under this World Tree."
E_C19_Jan_Fray01_10,"Really..? all I was told was that I was found under the World Tree.."
E_C19_Jan_Fray01_11,"It's odd that Iris didn't tell you anything. I can still remember that day like it was yesterday."
E_C19_Jan_Fray01_12,"It was an exceptionally warm midwinter day."
E_C19_Jan_Fray01_13,"I was walking around the World Tree early in the morning."
E_C19_Jan_Fray01_14,"And... there you were, an angel glowing in gold."
E_C19_Jan_Fray01_15,"An angel?"
E_C19_Jan_Fray01_16,"An angel indeed! I saw the roots of the World Tree shining with holy light."
E_C19_Jan_Fray01_17,"I went straight to it, and there was an adorable baby shining in gold."
E_C19_Jan_Fray01_18,"I thought the baby was an angel, but I could see no wings."
E_C19_Jan_Fray01_19,"The aura around the baby was not an ordinary one."
E_C19_Jan_Fray01_20,"......................................."
E_C19_Jan_Fray01_21,"I then reached out to Iris in a hurry."
E_C19_Jan_Fray01_22,"I heard that you were brought to the orphanage that the captain of the Holy Knights was running."
E_C19_Jan_Fray01_23,"Yes. I was raised by my grandpa Ricardo."
E_C19_Jan_Fray01_24,"Clause and Kasel were with me as well."
E_C19_Jan_Fray01_25,"But... how come Priestess Iris didn't tell me anything about it?"
E_C19_Jan_Fray01_26,"There must be a reason."
E_C19_Jan_Fray01_27,"All that Iris does is done under Lua's guidance."
E_C19_Jan_Fray01_28,"I see... Thank you. That was the story that I wanted to hear the most."
E_C19_Jan_Fray01_29,"It's the least I could do. I am afraid that I might have confused you on your important day."
E_C19_Jan_Fray01_30,"May the light fill... Ah, I believe that humans say it differently."
E_C19_Jan_Fray01_31,"Happy birthday, Frey."
E_C19_Jan_Fray01_32,"Thank you..."
E_C19_Jan_Fray01_33,"..................................................."
E_C19_Jan_Fray01_34,"I don't mean to complain."
E_C19_Jan_Fray01_35,"But... who am I, Lua...?"
E_C19_Jan_Fray01_36,"...I'm back again."
E_C19_Jan_Fray01_37,"Will I be able to meet you again...?"
E_C19_Jan_Fray01_38,"I will find you, no matter how much you have changed."
E_C19_Jan_Tanya01_01,"...Roi, you're still good at covering up your traces."
E_C19_Jan_Tanya01_02,"But you won't be able to fool me."
E_C19_Jan_Tanya01_03,"…"
E_C19_Jan_Tanya01_04,"Why did you leave, Roi...?"
E_C19_Jan_Tanya01_05,"You left without a single word..."
E_C19_Jan_Tanya01_06,"A few years ago"
E_C19_Jan_Tanya01_07,"*Huff, huff* They just won't give up!"
E_C19_Jan_Tanya01_08,"Kuh...!"
E_C19_Jan_Tanya01_09,"*Groan*"
E_C19_Jan_Tanya01_10,"How's the wound?"
E_C19_Jan_Tanya01_11,"...It's just a scratch."
E_C19_Jan_Tanya01_12,"Just wipe off the blood with this."
E_C19_Jan_Tanya01_13,"…"
E_C19_Jan_Tanya01_14,"Do you think I like helping you?"
E_C19_Jan_Tanya01_15,"Remember, we're in a joint operation."
E_C19_Jan_Tanya01_16,"A loss of a team member can compromise the entire mission."
E_C19_Jan_Tanya01_17,"Hmph, don't get all bossy here."
E_C19_Jan_Tanya01_18,"I did most of the work to earn us our name."
E_C19_Jan_Tanya01_19,"Everyone knows that you're a great assassin."
E_C19_Jan_Tanya01_20,"Things go wrong sometimes. Just like today."
E_C19_Jan_Tanya01_21,"Stop the bleeding and leave. I'll cover up the traces."
E_C19_Jan_Tanya01_22,"That's an order."
E_C19_Jan_Tanya01_23,"You're not going to stop mentioning that you're the boss, huh?"
E_C19_Jan_Tanya01_24,"And I don't need your handkerchief. Take it back."
E_C19_Jan_Tanya01_25,"Then, just throw it away when you get back."
E_C19_Jan_Tanya01_26,"And get some rest. It's your birthday."
E_C19_Jan_Tanya01_27,"...How did you?"
E_C19_Jan_Tanya01_28,"Why is this memory coming back...?"
E_C19_Jan_Tanya01_29,"This weird feeling that I've been getting recently..."
E_C19_Jan_Tanya01_30,"It's all because of you, Roi!"
E_C19_Jan_Loman01_01,"Same thing, different day, huh?"
E_C19_Jan_Loman01_02,"Tell me about it. It's his…"
E_C19_Jan_Loman01_03,"It's his birthday after all."
E_C19_Jan_Loman01_04,"I heard birthday is a special day."
E_C19_Jan_Loman01_05,"Isn't everyone supposed to celebrate?"
E_C19_Jan_Loman01_06,"Umm... We are, but I'm afraid"
E_C19_Jan_Loman01_07,"Loman might not like us making a big deal about it."
E_C19_Jan_Loman01_08,"Come on, he's a brusque fellow, but I doubt he'll say no to a birthday celebration."
E_C19_Jan_Loman01_09,"Last time, I wanted to buy a present for the princess and asked him for a discount."
E_C19_Jan_Loman01_10,"He wouldn't even listen to me. He told me I shouldn't mix business with pleasure."
E_C19_Jan_Loman01_11,"Umm... I think he was right on that one..."
E_C19_Jan_Loman01_12,"I was short on money, so I asked him one more time a bit aggressively."
E_C19_Jan_Loman01_13,"Then, he raised his spear at me. Loman and I fought till it became dark. It was really fun."
E_C19_Jan_Loman01_14,"...Loman might have his faults, but you're just as bad as he is."
E_C19_Jan_Loman01_15,"Alright! Loman is a comrade in arms. I'm going to go start the celebration."
