ACCOUNT.LOGOUT_MESSAGE,""
ACCOUNT.LOGOUT_TITLE,""
ACCOUNT.SESSION_EXPIRED_AND_ENTER_LOBBY,""
ACCOUNT.SESSION_EXPIRED_AND_ENTER_LOGIN,""
ACCOUNT.SIGN_OUT_CONFIRM,""
ACCOUNT.SIGN_OUT_MESSAGE,"SIGN_OUT_MESSAGE"
ACCOUNT.SIGN_OUT_TITLE,"SIGN_OUT_TITLE"
ACHIEVEMENT.ACHIEVEMENT_REWARD_TITLE,""
ACHIEVEMENT.ACHIEVEMENT_TYPE_ITEM,"ACHIEVEMENT_TYPE_ITEM"
ACHIEVEMENT.GRADE_BLUE2,"GRADE_BLUE2"
ACHIEVEMENT.GRADE_GREEN2,"GRADE_GREEN2"
ACHIEVEMENT.GRADE_ORANGE2,"GRADE_ORANGE2"
ACHIEVEMENT.GRADE_PURPLE2,"GRADE_PURPLE2"
ACHIEVEMENT.GRADE_WHITE2,"GRADE_WHITE2"
ACHIEVEMENT.MISSION_STATUS_REWARD_COMPLETED,"MISSION_STATUS_REWARD_COMPLETED"
ACHIEVEMENT.MONSTER_KILL,"MONSTER_KILL"
ACHIEVEMENT.MONSTER_SUPPRESS,"MONSTER_SUPPRESS"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_CANCELED,"REPEATBATTLE_CANCEL"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_FAILED_BATTLE_LOSE,"REPEATBATTLE_FAIL_LOSE"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_FAILED_CHALLENGE,"REPEATBATTLE_FAIL_CHALLENGE"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_FAILED_EQUIP_ITEM_FULL,"REPEATBATTLE_FAIL_INVENTORY"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_FAILED_EVENT_MAX_COUNT,""
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_FAILED_STAMINA,"REPEATBATTLE_FAIL_STAMINA"
AUTO_REPEAT_BATTLE.AUTO_REPEAT_BATTLE_START_CONFIRM,"REPEATBATTLE_INFORM"
BATTLE.AUTO_BUTTON_DISABLED,""
BATTLE.CANNOT_INSERT_MORE,""
BATTLE.CANNOT_REMOVE_FORCED_HERO,""
BATTLE.DUNGEON_HERO_COUNT,"DUNGEON_HERO_COUNT"
BATTLE.ENTER_TRIAL_DUNGEON,"ENTER_TRIAL_DUNGEON"
BATTLE.EXIT_REPLAY_CONFIRM,""
BATTLE.HERO_ALREADY_EXIST,""
BATTLE.HERO_ALREADY_EXIST_MAIN,""
BATTLE.HERO_ALREADY_EXIST_SUB,""
BATTLE.MATCH_START_BUTTON_LABEL,"MATCH_START_BUTTON_LABEL"
BATTLE.MONSTER_COUNT,""
BATTLE.REPEAT_BATTLE_ASK_CONTENT,""
BATTLE.REPEAT_BATTLE_ASK_TITLE,""
BATTLE.REPEAT_BATTLE_AUTO,""
BATTLE.REPEAT_BATTLE_SINGLETIME,""
BATTLE.SKILL_USE_RESULT_CASTING,"SKILL_USE_RESULT_CASTING"
BATTLE.SKILL_USE_RESULT_COOLTIME,"SKILL_USE_RESULT_COOLTIME"
BATTLE.SKILL_USE_RESULT_CREATURE_TAG_TYPE_MISMATCH,""
BATTLE.SKILL_USE_RESULT_DEAD,"SKILL_USE_RESULT_DEAD"
BATTLE.SKILL_USE_RESULT_INVALID_SKILL_LEVEL,"SKILL_USE_RESULT_INVALID_SKILL_LEVEL"
BATTLE.SKILL_USE_RESULT_INVALID_STATE,"SKILL_USE_RESULT_INVALID_STATE"
BATTLE.SKILL_USE_RESULT_INVALID_TARGET,"SKILL_USE_RESULT_INVALID_TARGET"
BATTLE.SKILL_USE_RESULT_NOT_BATTLE,"SKILL_USE_RESULT_NOT_BATTLE"
BATTLE.SKILL_USE_RESULT_TARGET_TOO_FAR,"SKILL_USE_RESULT_TARGET_TOO_FAR"
BATTLE.SKILL_USE_RESULT_TARGET_TOO_NEAR,"SKILL_USE_RESULT_TARGET_TOO_NEAR"
BATTLE.START_BATTLE,"START_BATTLE"
BATTLE.VIEW_REPLAY,"REPLAY"
BATTLE.VIEW_REPLAY_CONFIRM,""
BILLING.APPLE_FINISHTRANSACTION_FAILED,""
BILLING.APPLE_PURCHASE_FAILED,""
BILLING.APPLE_QUERYINVENTORY_FAILED,""
BILLING.BILLING_CANCELED,"BILLING_CANCELED"
BILLING.BILLING_ERROR_OCCURRED,"BILLING_ERROR_OCCURRED"
BILLING.COMMON_POPUP_TITLE,""
BILLING.DELAYED_BILLING_COMPLETED,"DELAYED_BILLING_COMPLETED"
BILLING.GOOGLE_QUERYINVENTORY_FAILED,""
BILLING.GOOGLECONSUME_FAILED,""
BILLING.GOOGLEPURCHASE_FAILED,""
