KEY,"French"
Sub1_Prisila_1_1_1,"Des yeux dorés remplis d'angoisse."
Sub1_Prisila_1_1_2,"Vais-je mourir ici ?"
Sub1_Prisila_1_1_3,"Une enfant ne devrait pas avoir à poser ce genre de questions."
Sub1_Prisila_1_1_4,"Je me mords les lèvres"
Sub1_Prisila_1_1_5,"en regardant la petite fille angoissée."
Sub1_Prisila_1_1_6,"La fille dont les petites mains avaient le pouvoir de tout changer."
Sub1_Prisila_1_1_7,"Je sens la futilité de tout cela, et pourtant j'ai pitié d'elle."
Sub1_Prisila_1_1_8,"Pas d'inquiétude, tout ira bien."
Sub1_Prisila_1_1_9,"Tout finit toujours bien."
Sub1_Prisila_1_1_10,"Je disais cela à tous ceux qui me suivaient et me faisaient confiance,"
Sub1_Prisila_1_1_11,"une vieille habitude."
Sub1_Prisila_1_1_12,"Pas d'inquiétude, tout ira bien."
Sub1_Prisila_1_1_13,"La petite fille la regarda sans rien dire en descendant du chariot."
Sub1_Prisila_1_1_14,"Il pleuvait dru."
Sub1_Prisila_1_1_15,"Je suis Priscilla, ma dame, et désormais, je vous servirai."
Sub1_Prisila_1_1_16,"La femme regarda la fille et s'adressa à elle sans montrer ses émotions."
Sub1_Prisila_1_1_17,"Ses paroles étaient formelles et directes, mais sa voix inspirait confiance."
Sub1_Prisila_1_1_18,"M-Merci !"
Sub1_Prisila_1_1_19,"La petite fille hocha la tête"
Sub1_Prisila_1_1_20,"et la femme quitta le chariot sans un regard en arrière."
Sub1_Prisila_1_1_21,"Peu après, l'atmosphère autour du chariot changea soudain."
Sub1_Prisila_1_1_22,"Clang !"
Sub1_Prisila_1_1_23,"Un son métallique. Le chariot trembla."
Sub1_Prisila_1_1_24,"Les cris furent étouffés par le bruit de la pluie."
Sub1_Prisila_1_1_25,"Au bout d'un moment, la pluie finit par cesser."
Sub1_Prisila_1_1_26,"*Clic*"
Sub1_Prisila_1_1_27,"Trempée jusqu'aux os, la femme entra dans le chariot."
Sub1_Prisila_1_1_28,"La petite fille éclata en sanglots."
Sub1_Prisila_1_1_29,"Merci. Merci..."
