KEY,"ChineseSimplified"
ITEM_TYPE.EQUIP,"装备"
ITEM_TYPE.PACKAGE,"礼包"
ITEM_TYPE.ENCHANT,"附魔"
EQUIP_PART_TYPE.WEAPON,"武器"
EQUIP_PART_TYPE.ARMOR,"防具"
EQUIP_PART_TYPE.ACCESSORY,"饰品"
EQUIP_PART_TYPE.SECOND_GEAR,"辅助装备"
EQUIP_PART_TYPE.ORB,"法珠"
EQUIP_PART_TYPE.ARTIFACT,"神器"
EQUIP_PART_TYPE.ENHANCE_STONE,"魔法水晶"
EQUIP_PART_TYPE.TREASURE,"宝物"
STAT_TYPE.MAX_HP,"生命值上限"
STAT_TYPE.PHYSICAL_ATTACK,"攻击"
STAT_TYPE.MAGICAL_ATTACK,"攻击"
STAT_TYPE.PHYSICAL_DEFENSE,"物理防御"
STAT_TYPE.MAGICAL_DEFENSE,"魔法防御"
STAT_TYPE.ADD_MAX_HP_R,"生命值上限"
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,"攻击"
STAT_TYPE.ADD_MAGICAL_ATTACK_R,"攻击"
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,"物理防御"
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,"魔法防御"
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,"暴击率"
STAT_TYPE.PHYSICAL_CRITICAL_POWER,"暴击伤害量"
STAT_TYPE.PHYSICAL_DODGE_CHANCE,"物理回避率"
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,"物理格挡率"
STAT_TYPE.PHYSICAL_BLOCK_POWER,"物理格挡防御"
STAT_TYPE.PHYSICAL_HIT_CHANCE,"命中率"
STAT_TYPE.PHYSICAL_PIERCE_POWER,"防御穿透力"
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,"暴击率"
STAT_TYPE.MAGICAL_CRITICAL_POWER,"暴击伤害量"
STAT_TYPE.MAGICAL_DODGE_CHANCE,"魔法回避率"
