KEY,"Vietnamese"
ITEM_TYPE.EQUIP,"Trang bị"
ITEM_TYPE.PACKAGE,"Gói"
ITEM_TYPE.ENCHANT,"Phù phép"
EQUIP_PART_TYPE.WEAPON,"Vũ khí"
EQUIP_PART_TYPE.ARMOR,"Giáp"
EQUIP_PART_TYPE.ACCESSORY,"Phụ kiện"
EQUIP_PART_TYPE.SECOND_GEAR,"Trang bị phụ"
EQUIP_PART_TYPE.ORB,"Quả cầu"
EQUIP_PART_TYPE.ARTIFACT,"Cổ vật"
EQUIP_PART_TYPE.ENHANCE_STONE,"Pha lê phép thuật"
EQUIP_PART_TYPE.TREASURE,"Bảo vật"
STAT_TYPE.MAX_HP,"MAX HP"
STAT_TYPE.PHYSICAL_ATTACK,"ATK"
STAT_TYPE.MAGICAL_ATTACK,"ATK"
STAT_TYPE.PHYSICAL_DEFENSE,"P.DEF"
STAT_TYPE.MAGICAL_DEFENSE,"M.DEF"
STAT_TYPE.ADD_MAX_HP_R,"MAX HP"
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,"ATK"
STAT_TYPE.ADD_MAGICAL_ATTACK_R,"ATK"
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,"P.DEF"
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,"M.DEF"
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,"Crit"
STAT_TYPE.PHYSICAL_CRITICAL_POWER,"Crit DMG"
STAT_TYPE.PHYSICAL_DODGE_CHANCE,"P.Dodge"
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,"P.Block"
STAT_TYPE.PHYSICAL_BLOCK_POWER,"P.Block DEF"
STAT_TYPE.PHYSICAL_HIT_CHANCE,"ACC"
STAT_TYPE.PHYSICAL_PIERCE_POWER,"Penetration"
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,"Crit"
STAT_TYPE.MAGICAL_CRITICAL_POWER,"Crit DMG"
STAT_TYPE.MAGICAL_DODGE_CHANCE,"M.Dodge"
STAT_TYPE.MAGICAL_BLOCK_CHANCE,"M.Block"
STAT_TYPE.MAGICAL_BLOCK_POWER,"M.Block DEF"
STAT_TYPE.MAGICAL_HIT_CHANCE,"ACC"
STAT_TYPE.MAGICAL_PIERCE_POWER,"Penetration"
STAT_TYPE.HEAL_POWER,"Heal"
STAT_TYPE.RECOVER_POWER,"Recovery"
STAT_TYPE.ANTI_CC_CHANCE,"CC Resist"
STAT_TYPE.HIT_CC_CHANCE,"Độ chính xác ở trạng thái xấu"
STAT_TYPE.ANTI_DEBUFF_CHANCE,"Debuff Resist"
STAT_TYPE.PHYSICAL_WEAKNESS,"P.Weak"
STAT_TYPE.PHYSICAL_TOUGHNESS,"P.Tough"
STAT_TYPE.MAGICAL_WEAKNESS,"M.Weak"
STAT_TYPE.MAGICAL_TOUGHNESS,"M.Tough"
STAT_TYPE.HP_STEAL_POWER,"Lifesteal"
STAT_TYPE.HP_ON_DAMAGE,"HP Recovery/DMG"
STAT_TYPE.HP_ON_ATTACK,"HP Recovery/Attack"
STAT_TYPE.HP_ON_KILL,"HP Recovery/elimination"
STAT_TYPE.HP_ON_WAVE,"HP Recovery/Battle"
STAT_TYPE.HP_ON_SECOND,"HP Recovery/Sec"
STAT_TYPE.HP_RATIO_ON_DAMAGE,"HP Recovery Rate/DMG"
STAT_TYPE.HP_RATIO_ON_ATTACK,"HP Recovery Rate/Hit"
STAT_TYPE.HP_RATIO_ON_KILL,"HP Recovery Rate/elimination"
STAT_TYPE.HP_RATIO_ON_WAVE,"HP Recovery Rate/Battle"
STAT_TYPE.HP_RATIO_ON_SECOND,"HP Recovery Rate/Sec"
STAT_TYPE.MAX_MP,"MAX MP"
STAT_TYPE.MP_ON_DAMAGE,"MP Recovery/DMG"
STAT_TYPE.MP_ON_ATTACK,"MP Recovery/Attack"
STAT_TYPE.MP_ON_KILL,"MP Recovery/Elimination"
STAT_TYPE.MP_ON_WAVE,"MP Recovery/Battle"
STAT_TYPE.MP_ON_SECOND,"MP Recovery/Sec"
STAT_TYPE.ATTACK_SPEED,"ATK Spd"
STAT_TYPE.MOVE_SPEED_MMS,"Move Spd"
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,"Kháng cự đòn chí mạng vật lý"
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,"Kháng cự đòn chí mạng ma thuật"
STAT_TYPE.HP,"Current HP"
STAT_TYPE.CCACCURACY,"Debuff ACC"
STAT_TEAMLEVEL,"Team Lv."
STAT_TEAMEXP,"Team XP"
STAT_VIPLEVEL,"VIP Lv."
STAT_VIPEXP,"VIP XP"
STAT_LEVEL,"Lv."
STAT_EXP,"XP"
STAT_STAR,"Stars"
STAT_GRADE,"Rank"
STAT_TYPE.ADD_MP_ON_DAMAGE_R,"MP Recovery/DMG"
STAT_TYPE.ADD_MP_ON_ATTACK_R,"MP Recovery/Attack"
STAT_TYPE.ADD_MP_ON_TIME_R,"MP Recovery/Sec"
EQUIP_SORT_TYPE.STAR_UP,"Số sao (+)"
EQUIP_SORT_TYPE.STAR_DOWN,"Số sao (-)"
