KEY,Vietnamese
LOADING_TEXT_CURRENCY_GOLD,Loại tiền tệ cơ bản mà bạn có thể kiếm được bằng cách qua ải hoặc nhiệm vụ.
LOADING_TEXT_CURRENCY_GOLD2,"Sử dụng Vàng để mua vật phẩm, nâng cấp kỹ năng và tận hưởng nhiều nội dung phong phú!"
LOADING_TEXT_CURRENCY_GEM,"Một điểm tiền mặt trong King's Raid.\nĐược sử dụng cho nhiều chức năng đặc biệt, vì vậy đừng lãng phí!"
LOADING_TEXT_CURRENCY_GEM2,Giờ đã có thể mua trong Cửa hàng cao cấp!
LOADING_TEXT_CURRENCY_GEM3,Bạn có thể kiếm được phần thưởng Ruby khi đăng nhập và hoàn thành các nhiệm vụ!
LOADING_TEXT_CURRENCY_STAMINA,Tùy vào ải sẽ tiêu tốn một lượng Thể lực nhất định.
LOADING_TEXT_CURRENCY_STAMINA2,Thể lực bị tiêu thụ sẽ được nạp lại bằng\n 1 điểm theo thời gian.
LOADING_TEXT_CURRENCY_STAMINA3,Thể lực tối đa sẽ tăng\nkhi cấp độ nhóm tăng.
LOADING_TEXT_CURRENCY_SWORD,Được dùng để chiến đấu với người chơi khác trong\nĐấu trường! Nó được tự động nạp lại theo thời gian.
LOADING_TITLE_HERO_CONTENT_HEROSETTING,Cách để lập nhóm?
LOADING_TEXT_HERO_CONTENT_HEROSETTING,Một nhóm phải có tối đa bốn thành viên để bắt đầu trận đánh trong Vua chinh phạt.\nCác anh hùng ở tuyến đầu và tuyến sau được quyết định theo class.\nCác anh hùng ở cùng class cũng  có thể gia nhập một nhóm với nhau.
LOADING_TITLE_HERO_CONTENT_SKILL,Kỹ năng anh hùng
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,Cường hoá kỹ năng của bạn!
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,Các kỹ năng mà bạn đã học\ncó thể được cường hoá để mạnh hơn.\nHãy dùng Vàng để nâng cấp các kỹ năng theo cấp độ anh hùng của bạn.\n
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,Nhận một số đồ cường hoá!
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Trang bị đồ cường hoá phù hợp với class anh hùng của bạn.\nAnh hùng của bạn có thể trở nên mạnh hơn\nbằng cách trang bị vũ khí, giáp, vũ khí phụ, và các phụ kiện."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,Loại đồ cường hoá?
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Có 6 loại vũ khí: Đại đao, Giáo, Dao găm, Cung, Súng và Đũa thần (phù thủy và Linh mục dùng chung vũ khí). Và có 3 loại giáp và vũ khí phụ: Giáp nặng, Giáp nhẹ và Áo choàng."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,Cường hoá trang bị!
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,Dùng các nguyên liệu khác nhau để nâng cấp vũ khí.\nNâng cấp sẽ hiệu quả hơn\nkhi dùng các nguyên liệu có thứ hạng cao hơn.
LOADING_TITLE_HERO_CONTENT_RUNETPYE,Loại cổ tự
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Có ba loại cổ tự:\nTấn công, Phòng thủ và Phụ."
LOADING_TITLE_HERO_CONTENT_RUNE,Tác động của cổ tự (tùy theo màu)
LOADING_TEXT_HERO_CONTENT_RUNE,Cổ tự Tấn công đỏ chỉ có thể được trang bị trên vũ khí. Cổ tự Phòng thủ xanh dương chỉ có thể được trang bị trên giáp. Cổ tự Phụ xanh lục chỉ có thể được trang bị trên vũ khí phụ.
LOADING_TITLE_CONTENT_PARTYDUNGEON,Vào ngục tối cùng với bạn bè!
LOADING_TEXT_CONTENT_PARTYDUNGEON,"Trong các ngục tối của nhóm có những con quái vật đầy thách thức  \ Lập một nhóm với bạn bè và thách thức chúng \ Hãy nhớ, bạn không thể vào ngục tối khi không ở trong nhóm!"
LOADING_TITLE_CONTENT_HALLOFHEROES,Nơi thức tỉnh
LOADING_TEXT_CONTENT_HALLOFHEROES,"Đại lộ anh hùng gồm có Phòng thử thách,\nnơi bạn có thể chiến đấu với bóng tối và giành được vật liệu để thức tỉnh, và Phòng thanh tẩy,\nnơi bạn có thể thanh tẩy vật liệu giành được để thức tỉnh anh hùng"
LOADING_TITLE_CONTENT_ROOMOFORDEAL,Phòng thử thách
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"Phòng thử thách là nơi duy nhất bạn có thể giành được Bóng tối đã bị phong ấn,\nthứ cần phải có để thức tỉnh các anh hùng."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,Cổng Phòng thử thách không bị phong ấn.
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Để vào Phòng thử thách, bạn cần thu thập đủ số lượng nhất định ba loại mảnh ghép ứng với mỗi class.\nKhi bạn đã thu thập đủ mảnh ghép, hãy phá Phong ấn! Sau khi được mở ra, cửa sẽ không đóng lại cho đến khi vượt qua Phòng thử thách."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,Phòng thanh tẩy
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,Bạn có thể thanh tẩy Bóng tối bị phong ấn trong Phòng thanh tẩy.
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Phòng thanh tẩy, giới hạn tham gia"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,Các anh hùng vừa giành được\nBóng tối bị phong ấn từ Phòng thử thách có thể vào Phòng thanh tẩy.
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,Chuẩn bị thanh tẩy
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,Bạn cần nhiều Vàng để thanh tẩy bóng tối.\nThu thập đủ Vàng và thử thanh tẩy. 
LOADING_TITLE_CONTENT_CITY,Orvel
