KEY,Vietnamese
Sub1_Ophelia_1_1,Mình đã có một giấc mơ.
Sub1_Ophelia_1_2,Giấc mơ cả thế giới này bị nhuốm màu bóng tối mà mình không bao giờ muốn mơ lại.
Sub1_Ophelia_1_3,Và mình chỉ có thể khoanh tay đứng nhìn cảnh cả thế giới bị nhuốm màu bóng tối.
Sub1_Ophelia_1_4,Mình đã có một giấc mơ.
Sub1_Ophelia_1_5,Người ấy đã xuất hiện giống như ánh hào quang bên cạnh mình khi mình ngồi sụp xuống khóc như một đứa trẻ.
Sub1_Ophelia_1_6,Ngay khi người ấy dang tay ra
Sub1_Ophelia_1_7,"thì muôn hoa đua sắc,"
Sub1_Ophelia_1_8,"mặt đất và bầu trời lại tìm được màu xanh,"
Sub1_Ophelia_1_9,và mặt trời đẩy lùi bóng tối.
Sub1_Ophelia_1_10,"Khi tỉnh lại từ trong giấc mơ,"
Sub1_Ophelia_1_11,"mình đã không thể nhớ nổi khuôn mặt,"
Sub1_Ophelia_1_12,không thể nhớ nổi giọng nói ấy.
Sub1_Ophelia_1_13,Nhưng mình lại không thể quên được hơi ấm vỗ về lưng mình.
Sub1_Ophelia_1_14,Vậy nên mình nhất định phải gặp được người ấy.
Sub1_Ophelia_1_15,Kim chỉ nam của mình.
Sub1_Ophelia_1_16,Ngôi sao của mình.
Sub1_Ophelia_1_17,Định mệnh của mình.
Sub1_Ophelia_2_1,Ừm... Đã xa Stardust được một tháng rồi!
Sub1_Ophelia_2_2,Chắc bây giờ đoàn trưởng cũng đã đi qua đại lục rồi nhỉ?
Sub1_Ophelia_2_3,Trong cuộc hành hương lần này... mình cũng đã mơ về người ấy và không hiểu sao lại có cảm giác rất vui!
Sub1_Ophelia_2_4,Mấy đứa cũng thế đúng không?
Sub1_Ophelia_2_5,"Mấy đứa, chị nhột quá! Haha!"
Sub1_Ophelia_2_6,"Thần xe ngựa Taro ơi, hãy nhanh chân đến cây Thế giới đi!"
Sub1_Ophelia_3_1,Có ai từng nghe thấy tiếng thì thầm của những vì sao không?
Sub1_Ophelia_3_2,Những âm thanh thần bí và trong trẻo ấy
Sub1_Ophelia_3_3,Bởi vì hôm nay
Sub1_Ophelia_3_4,Tất cả những nhà chiêm tinh đều đang tụ họp và hướng về vùng trời nơi đây.
Sub1_Ophelia_3_5,Thánh địa khởi nguồn của thuật chiêm tinh chính là cây Thế giới.
Sub1_Ophelia_3_6,"Waa... Nhiều người thật! Cũng đúng, hôm nay nhiều người là đúng rồi."
Sub1_Ophelia_3_7,Phù thủy Ophelia.
Sub1_Ophelia_3_8,Tôi xin dâng lời nguyện cầu lên Cây Thế Giới với tư cách là một người tiếp nối lịch sử tiên tri bằng những vì sao.
Sub1_Ophelia_3_9,"Mong hãy giúp tôi sau này vẫn có thể nhìn thấy ánh sáng trong đôi mắt của mọi người,"
Sub1_Ophelia_3_10,Và... gương mặt của người ấy cũng là gương mặt đẹp nhất trên thế gian...
Sub1_Ophelia_3_11,Yên lặng nào! Cứ đến đây một cái là lại thành vậy à... Đã bảo đến đây là phải kính cẩn mà!
