KEY,"Russian"
MONTHLYHERO_FREY_BIRTHDAY_TITLE,"Безмолвное утро (Фрэй)"
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"Как всегда, на охоте (Таня)"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,"На посту все спокойно (Ломан)"
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,"Красотка (Присцилла)"
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,"День рождения капитана (Дэмия)"
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,"Ночь красного света (Рейвиция)"
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,"Игра в прятки с Мириам (Соня)"
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,"Неожиданный отдых (Вероника)"
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,"Каула в Стране чудес (Каула)"
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,"Аудиенция у королевы (Юрия)"
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,"Пора подавать десерт (Артемиа)"
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"Книги нужно сдавать в срок (Лео)"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,"Загадочное приглашение (Кассандра)"
MONTHLYHERO_ROI_BIRTHDAY_TITLE,"Удачный день (Рой)"
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,"Вечеринка экспериментов (Медиана)"
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,"Воспоминания командира дракониксов (Мора)"
MONTHLYHERO_THEO_BIRTHDAY_TITLE,"Подарок своими руками (Тэо)"
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,"Счастье в подарок (Аннет)"
MONTHLYHERO_JANE_BIRTHDAY_TITLE,"Забытый сон Белоснежной (Джейн)"
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,"Имперские рыцари (Гленвис)"
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"Порох навсегда (Лакрак)"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,"Муки святого (Люций)"
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"Мудрец объединяет (Лорейн)"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,"Самый первый день рождения (Лавриль)"
MONTHLYHERO_KARA_BIRTHDAY_TITLE,"Сюрприз! (Кара)"
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,"Празднование по-пиратски (Мируру)"
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,"Целеустремленная (Шамилья)"
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,"Попытка не пытка (Иезекииль)"
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,"Срочный вызов! (Флусс)"
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,"Откровенный разговор (Тимаэль)"
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,"Волнение перед выступлением (Ши)"
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,"Собственная лига (Ники)"
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,"Повар на день (Янни)"
MONTHLYHERO_FREY_BIRTHDAY_DESC,"Утром в свой день рождения Фрэй вечно куда-то пропадает. Чем же она занимается втайне от всех?"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Таня преследует Роя, забывая о своем долге наемной убийцы. Воспоминания о дне рождения, проведенном когда-то с Роем, всплывают в ее памяти."
