KEY,"French"
E_C19_Jan_Fray01_01,"Je suis de retour... Cette année encore..."
E_C19_Jan_Fray01_02,"Cela ne me rendra pas la mémoire, mais..."
E_C19_Jan_Fray01_03,"Es-tu Frey, celle que l'on nomme la prêtresse de la Lumière ?"
E_C19_Jan_Fray01_04,"Grande savante elidoran, la fidèle de Lua que je suis vous salue."
E_C19_Jan_Fray01_05,"Ah ah, c'est grâce à toi que je suis en pleine forme."
E_C19_Jan_Fray01_06,"Je vois que tu es devenue une belle jeune femme... Quand je t'ai connue, tu n'étais encore qu'un bébé."
E_C19_Jan_Fray01_07,"Un bébé ? Vous..."
E_C19_Jan_Fray01_08,"Iris ne t'a rien dit ?"
E_C19_Jan_Fray01_09,"C'est moi qui t'ai trouvée sous l'Arbre-Monde."
E_C19_Jan_Fray01_10,"C'est vrai... On m'a bien trouvée sous l'Arbre-Monde."
E_C19_Jan_Fray01_11,"C'est étrange qu'Iris ne t'ait rien dit. Je m'en souviens comme si c'était hier."
E_C19_Jan_Fray01_12,"C'était au beau milieu de l'hiver, et pourtant il faisait exceptionnellement chaud."
E_C19_Jan_Fray01_13,"Au petit matin, je me promenais près de l'Arbre-Monde."
E_C19_Jan_Fray01_14,"Et je t'ai vue... Un ange paré d'or."
E_C19_Jan_Fray01_15,"Un ange ?"
E_C19_Jan_Fray01_16,"Oh oui, un ange ! Tu illuminais les racines de l'Arbre-Monde."
E_C19_Jan_Fray01_17,"Je me suis approchée de l'arbre et je t'ai vue, adorable poupon baigné d'or."
E_C19_Jan_Fray01_18,"J'ai bien cru que tu étais un ange. Tu n'avais pas d'ailes."
E_C19_Jan_Fray01_19,"Mais l'aura que tu dégageais était absolument extraordinaire."
E_C19_Jan_Fray01_20,"......................................."
E_C19_Jan_Fray01_21,"Je me suis précipitée vers Iris."
E_C19_Jan_Fray01_22,"J'ai appris que tu avais été placée dans l'orphelinat dirigé par le capitaine des Chevaliers sacrés."
E_C19_Jan_Fray01_23,"C'est bien ça, j'ai été élevée par grand-père Ricardo."
E_C19_Jan_Fray01_24,"Clause et Kasel ont grandi à mes côtés."
E_C19_Jan_Fray01_25,"Mais... pourquoi la prêtresse Iris ne m'a-t-elle rien dit ?"
E_C19_Jan_Fray01_26,"Elle doit avoir ses raisons."
E_C19_Jan_Fray01_27,"Tous les actes d'Iris sont guidés par Lua."
E_C19_Jan_Fray01_28,"Je vois... Merci. C'était un chapitre de ma vie que je voulais absolument connaître."
E_C19_Jan_Fray01_29,"C'est la moindre des choses. Pourtant, j'ai bien peur de t'avoir perturbée pendant ce jour si important pour toi."
E_C19_Jan_Fray01_30,"Puisse la Lumière combler... oh, je crois que la formule est différente pour les humains."
E_C19_Jan_Fray01_31,"Joyeux anniversaire, Frey."
E_C19_Jan_Fray01_32,"Merci..."
E_C19_Jan_Fray01_33,"..................................................."
E_C19_Jan_Fray01_34,"Je ne voudrais pas avoir l'air de me plaindre."
E_C19_Jan_Fray01_35,"Mais... qui suis-je, Lua ?"
