KEY,Thai
28DAYS_ATTENDANCE,เช็คชื่อ
NEWBIE_ATTENDANCE,ของรางวัลพิเศษตลอด 15 วัน!
VERONICAS_SPECIAL_PACKAGE,ใบเช็คชื่อเพื่อความสำเร็จวีรบุรุษของ Veronica
COMEBACK_ATTENDANCE,ของขวัญต้อนรับการกลับมา!!
7DAYS_SPECIAL_ATTENDANCE,กิจกรรมเช็คชื่อพิเศษ 7 วัน
MAY_SPECIAL_PACKAGE,ใบเช็คชื่อผู้เริ่มต้นของ May
9TH_CHAPTER_ATTENDANCE,ต้อนรับการอัปเดตแชปเตอร์ 9!!
GOD_KING_2019_ATTENDANCE_NAME,ใบเช็คชื่อพิเศษของราชาเทพเจ้า 14 วัน
1000TH_ANNIVERSARY_ATTENDANCE_NAME,"ของขวัญขอบคุณ ♡ครบรอบ 1,000 วัน♡!"
2020_NEW_YEAR_ATTENDANCE_TITLE,ใบเช็คชื่อพิเศษ 2020!
MAY_SPECIAL_PACKAGE_2020,ใบเช็คชื่อผู้เริ่มต้นของ May
