KEY,Portuguese
28DAYS_ATTENDANCE,Login
NEWBIE_ATTENDANCE,15 dias de presentes especiais!
VERONICAS_SPECIAL_PACKAGE,Diário de login de Veronica de herói completo
COMEBACK_ATTENDANCE,Presente de celebração do retorno!!
7DAYS_SPECIAL_ATTENDANCE,7 dias de evento especial de login
MAY_SPECIAL_PACKAGE,Diário de login de iniciante da May
9TH_CHAPTER_ATTENDANCE,Comemoração da atualização do Capítulo 9!!
GOD_KING_2019_ATTENDANCE_NAME,Diário de login especial de 14 dias do Rei-Deus
1000TH_ANNIVERSARY_ATTENDANCE_NAME,Presente de ♡Comemoração de 1.000 dias♡!
2020_NEW_YEAR_ATTENDANCE_TITLE,Diário de login especial de 2020!
MAY_SPECIAL_PACKAGE_2020,Diário de login de iniciante da May
